Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Jayson Tatum,21,66,66,2265,11.8,26.1,.450,4.0,10.0,.403,7.7,16.1,.480,5.4,6.7,.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,,111,106
2,Jaylen Brown,23,57,57,1934,10.7,22.1,.481,3.2,8.4,.382,7.4,13.7,.543,4.4,6.1,.724,1.5,7.5,9.1,2.9,1.6,0.5,3.1,4.2,28.9,,110,108
3,Marcus Smart,25,60,40,1919,6.4,17.2,.375,3.4,9.9,.347,3.0,7.2,.415,3.2,3.8,.836,1.1,4.6,5.7,7.3,2.5,0.7,2.6,4.1,19.5,,110,107
4,Kemba Walker,29,56,56,1742,10.5,24.6,.425,5.0,13.1,.381,5.5,11.5,.476,5.8,6.7,.864,1.0,5.0,6.0,7.4,1.3,0.8,3.2,2.5,31.7,,116,110
5,Gordon Hayward,29,52,52,1740,9.7,19.4,.500,2.4,6.2,.383,7.4,13.3,.554,3.4,4.0,.855,1.5,8.1,9.7,5.9,1.1,0.6,2.7,2.7,25.2,,118,109
6,Daniel Theis,27,65,64,1566,7.4,13.1,.566,1.0,3.0,.333,6.4,10.2,.633,2.7,3.5,.763,4.3,8.8,13.1,3.4,1.1,2.6,1.7,6.7,18.5,,130,105
7,Brad Wanamaker,30,71,1,1369,5.7,12.8,.448,1.3,3.6,.363,4.4,9.2,.481,4.4,4.8,.926,0.8,4.3,5.1,6.3,2.2,0.5,2.7,4.7,17.2,,115,109
8,Grant Williams,21,69,5,1043,4.0,9.8,.412,1.1,4.4,.250,2.9,5.3,.548,1.8,2.5,.722,2.7,5.5,8.2,3.1,1.4,1.7,2.3,7.5,11.0,,104,108
9,Semi Ojeleye,25,69,6,1011,3.8,9.4,.408,2.3,6.1,.378,1.5,3.3,.464,1.3,1.5,.875,1.2,5.7,6.9,1.8,1.0,0.2,0.9,3.8,11.3,,116,111
10,Enes Kanter,27,58,7,983,9.8,17.1,.572,0.0,0.3,.143,9.7,16.7,.581,3.4,4.9,.707,8.0,13.2,21.2,2.7,1.1,2.0,2.7,4.9,23.0,,123,104
11,Javonte Green,26,48,2,468,6.5,13.0,.500,0.9,3.4,.273,5.6,9.6,.581,2.9,4.3,.667,2.5,7.1,9.6,2.7,2.5,0.8,2.4,4.4,16.8,,110,106
12,Robert Williams,22,29,1,388,8.0,10.9,.727,0.0,0.0,,8.0,10.9,.727,2.7,4.2,.647,5.0,10.9,15.9,3.4,2.7,4.4,2.6,6.3,18.7,,134,98
13,Romeo Langford,20,32,2,370,3.7,10.4,.350,0.7,3.5,.185,3.0,6.9,.434,2.3,3.3,.720,2.0,3.4,5.3,1.7,1.0,1.0,1.4,4.3,10.3,,95,111
14,Carsen Edwards,21,37,0,351,5.8,17.6,.328,3.3,10.5,.316,2.5,7.2,.346,1.8,2.6,.684,0.8,5.6,6.5,3.3,1.7,0.6,2.1,4.7,16.6,,92,109
15,Vincent Poirier,26,22,0,130,6.3,13.4,.472,0.4,0.7,.500,5.9,12.6,.471,2.2,2.6,.857,4.8,11.1,16.0,3.0,0.7,3.3,3.0,9.3,15.2,,107,104
16,Tremont Waters,22,11,1,119,5.7,19.9,.286,1.6,9.7,.167,4.1,10.1,.400,3.2,3.2,1.000,0.0,4.9,4.9,6.5,4.1,0.8,6.1,5.3,16.2,,73,103
17,Tacko Fall,24,7,0,33,16.1,20.5,.786,0.0,0.0,,16.1,20.5,.786,1.5,4.4,.333,1.5,20.5,21.9,1.5,1.5,5.9,4.4,10.2,33.6,,115,93
