Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,21,66,66,2265,8.8,19.5,.450,3.0,7.5,.403,5.8,12.0,.480,4.0,5.0,.812,1.0,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6
2,Jaylen Brown,23,57,57,1934,7.9,16.5,.481,2.4,6.3,.382,5.5,10.2,.543,3.3,4.5,.724,1.2,5.6,6.8,2.2,1.2,0.4,2.3,3.1,21.6
3,Marcus Smart,25,60,40,1919,4.8,12.8,.375,2.6,7.4,.347,2.2,5.4,.415,2.4,2.9,.836,0.8,3.4,4.2,5.5,1.9,0.5,1.9,3.0,14.6
4,Kemba Walker,29,56,56,1742,7.8,18.4,.425,3.7,9.8,.381,4.1,8.6,.476,4.3,5.0,.864,0.7,3.7,4.5,5.5,1.0,0.6,2.4,1.9,23.7
5,Gordon Hayward,29,52,52,1740,7.2,14.5,.500,1.8,4.6,.383,5.5,9.9,.554,2.6,3.0,.855,1.1,6.1,7.2,4.4,0.8,0.5,2.0,2.0,18.8
6,Daniel Theis,27,65,64,1566,5.5,9.8,.566,0.7,2.2,.333,4.8,7.6,.633,2.0,2.6,.763,3.2,6.6,9.8,2.6,0.9,1.9,1.2,5.0,13.8
7,Brad Wanamaker,30,71,1,1369,4.3,9.5,.448,1.0,2.7,.363,3.3,6.8,.481,3.3,3.6,.926,0.6,3.2,3.8,4.7,1.6,0.4,2.0,3.5,12.8
8,Grant Williams,21,69,5,1043,3.0,7.3,.412,0.8,3.3,.250,2.2,4.0,.548,1.3,1.9,.722,2.0,4.1,6.1,2.3,1.0,1.2,1.7,5.6,8.2
9,Semi Ojeleye,25,69,6,1011,2.8,7.0,.408,1.7,4.5,.378,1.1,2.5,.464,1.0,1.1,.875,0.9,4.2,5.2,1.3,0.7,0.2,0.7,2.8,8.4
10,Enes Kanter,27,58,7,983,7.3,12.7,.572,0.0,0.3,.143,7.3,12.5,.581,2.6,3.6,.707,6.0,9.8,15.8,2.1,0.8,1.5,2.1,3.7,17.2
11,Javonte Green,26,48,2,468,4.8,9.7,.500,0.7,2.5,.273,4.2,7.2,.581,2.2,3.2,.667,1.8,5.3,7.2,2.0,1.8,0.6,1.8,3.3,12.5
12,Robert Williams,22,29,1,388,5.9,8.2,.727,0.0,0.0,,5.9,8.2,.727,2.0,3.2,.647,3.7,8.2,11.9,2.5,2.0,3.2,1.9,4.7,13.9
13,Romeo Langford,20,32,2,370,2.7,7.8,.350,0.5,2.6,.185,2.2,5.2,.434,1.8,2.4,.720,1.5,2.5,4.0,1.3,0.8,0.8,1.1,3.2,7.7
14,Carsen Edwards,21,37,0,351,4.3,13.1,.328,2.5,7.8,.316,1.8,5.3,.346,1.3,1.9,.684,0.6,4.2,4.8,2.5,1.2,0.4,1.5,3.5,12.4
15,Vincent Poirier,26,22,0,130,4.7,10.0,.472,0.3,0.6,.500,4.4,9.4,.471,1.7,1.9,.857,3.6,8.3,11.9,2.2,0.6,2.5,2.2,6.9,11.4
16,Tremont Waters,22,11,1,119,4.2,14.8,.286,1.2,7.3,.167,3.0,7.6,.400,2.4,2.4,1.000,0.0,3.6,3.6,4.8,3.0,0.6,4.5,3.9,12.1
17,Tacko Fall,24,7,0,33,12.0,15.3,.786,0.0,0.0,,12.0,15.3,.786,1.1,3.3,.333,1.1,15.3,16.4,1.1,1.1,4.4,3.3,7.6,25.1
