,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jayson Tatum,21,66,2265,,,,90%,10%,+10.4,+11.1,55,52,47,27,136,6,487,24,62
2,Jaylen Brown,23,57,1934,,50%,46%,4%,,+6.1,-0.8,42,46,65,15,111,8,280,25,66
3,Marcus Smart,25,60,1919,23%,73%,4%,,,+7.1,+1.3,68,14,74,6,53,30,678,11,19
4,Kemba Walker,29,56,1742,100%,,,,,+6.1,-0.7,56,49,53,1,88,34,643,18,64
5,Gordon Hayward,29,52,1740,,6%,77%,17%,,+8.5,+4.1,41,33,34,18,64,3,505,17,39
6,Daniel Theis,27,65,1566,,,,,100%,+6.8,+0.5,20,9,114,17,49,19,275,15,29
7,Brad Wanamaker,30,71,1369,81%,19%,,,,+5.5,-1.6,37,19,55,5,62,5,433,10,26
8,Grant Williams,21,69,1043,,1%,38%,55%,6%,+7.2,+1.0,22,6,85,19,22,12,161,7,14
9,Semi Ojeleye,25,69,1011,,,41%,49%,10%,-0.3,-9.5,9,4,38,4,16,18,85,7,11
10,Enes Kanter,27,58,983,,,,,100%,+9.6,+4.3,15,11,60,14,44,1,133,12,36
11,Javonte Green,26,48,468,1%,41%,55%,3%,,-1.4,-9.1,11,6,24,1,20,1,59,2,5
12,Robert Williams,22,29,388,,,,2%,98%,+5.1,-1.6,8,5,29,5,14,3,63,6,1
13,Romeo Langford,20,32,370,7%,65%,28%,,,+10.6,+4.6,4,5,19,1,9,10,32,0,11
14,Carsen Edwards,21,37,351,12%,87%,1%,,,-6.1,-14.0,10,0,18,2,6,4,54,1,7
15,Vincent Poirier,26,22,130,,,,1%,99%,-5.2,-12.2,3,1,15,3,2,1,21,0,3
16,Tremont Waters,22,11,119,100%,,,,,+7.9,+1.5,11,4,5,0,1,0,39,0,2
17,Tacko Fall,24,7,33,,,,,100%,+14.8,+8.4,0,2,6,0,2,0,2,1,1
