Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Jayson Tatum,21,17,17,690,10.5,24.1,.434,3.4,9.1,.373,7.1,15.0,.471,7.2,8.9,.813,1.6,10.7,12.3,6.1,1.2,1.4,3.5,3.0,31.5,,112,104
2,Jaylen Brown,23,17,17,672,10.1,21.3,.476,3.2,8.9,.358,7.0,12.4,.560,3.9,4.7,.841,1.8,7.6,9.4,2.9,1.9,0.7,3.0,3.6,27.4,,110,106
3,Marcus Smart,25,17,16,648,6.0,15.2,.394,3.1,9.4,.333,2.8,5.8,.493,3.8,4.3,.875,0.8,6.1,6.8,6.0,1.6,0.6,3.5,4.2,18.9,,106,107
4,Kemba Walker,29,17,17,628,9.0,20.3,.441,3.1,10.0,.310,5.9,10.3,.569,5.5,6.4,.852,0.5,5.0,5.5,6.8,1.2,0.6,2.5,3.4,26.5,,116,109
5,Daniel Theis,27,17,17,482,6.3,12.1,.521,0.4,2.7,.154,5.9,9.4,.626,2.7,3.4,.788,3.3,9.2,12.5,2.6,0.6,2.2,1.5,6.8,15.7,,119,106
6,Brad Wanamaker,30,17,0,273,5.3,10.9,.483,2.2,4.9,.444,3.1,6.0,.515,2.6,2.9,.875,0.4,5.8,6.2,5.5,2.2,0.7,3.3,5.8,15.3,,110,106
7,Grant Williams,21,17,0,170,4.4,7.6,.577,2.9,5.0,.588,1.5,2.6,.556,2.0,2.9,.700,2.0,5.6,7.6,1.8,0.6,1.5,1.2,9.7,13.8,,142,109
8,Gordon Hayward,29,5,1,157,6.3,15.9,.400,2.2,7.6,.292,4.1,8.2,.500,2.2,2.5,.875,1.0,5.4,6.3,4.4,2.2,0.6,2.2,3.2,17.1,,102,106
9,Robert Williams,22,13,0,149,7.7,10.4,.742,0.0,0.3,.000,7.7,10.0,.767,0.7,2.0,.333,7.3,9.7,17.0,3.3,1.0,2.0,2.3,6.0,16.0,,137,105
10,Semi Ojeleye,25,13,0,122,2.9,11.4,.250,2.0,9.4,.217,0.8,2.0,.400,0.8,0.8,1.000,0.8,4.1,4.9,0.4,1.2,0.0,0.4,3.7,8.6,,80,110
11,Enes Kanter,27,11,0,102,10.7,20.5,.524,0.5,0.5,1.000,10.2,20.0,.512,2.4,4.9,.500,9.3,11.7,21.0,3.4,0.0,0.0,2.0,9.3,24.4,,119,108
12,Romeo Langford,20,7,0,46,4.3,10.8,.400,1.1,2.2,.500,3.2,8.7,.375,1.1,2.2,.500,0.0,3.2,3.2,2.2,1.1,0.0,2.2,4.3,10.8,,84,111
13,Javonte Green,26,1,0,6,8.3,16.6,.500,8.3,16.6,.500,0.0,0.0,,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,0.0,8.3,24.9,,140,110
14,Carsen Edwards,21,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,,106
15,Tacko Fall,24,2,0,3,16.6,16.6,1.000,0.0,0.0,,16.6,16.6,1.000,16.6,33.2,.500,0.0,16.6,16.6,0.0,0.0,0.0,0.0,0.0,49.8,,152,106
16,Tremont Waters,22,1,0,2,0.0,24.9,.000,0.0,24.9,.000,0.0,0.0,,0.0,0.0,,0.0,24.9,24.9,24.9,0.0,0.0,0.0,0.0,0.0,,56,101
17,Vincent Poirier,26,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,24.9,24.9,0.0,0.0,0.0,0.0,,232,59
