Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,21,17,17,40.6,8.5,19.6,.434,2.8,7.4,.373,5.8,12.2,.471,.504,5.9,7.2,.813,1.3,8.7,10.0,5.0,1.0,1.2,2.8,2.4,25.7
2,Jaylen Brown,23,17,17,39.5,8.1,16.9,.476,2.5,7.1,.358,5.5,9.9,.560,.550,3.1,3.7,.841,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,21.8
3,Marcus Smart,25,17,16,38.1,4.6,11.6,.394,2.4,7.2,.333,2.2,4.4,.493,.497,2.9,3.3,.875,0.6,4.6,5.2,4.6,1.2,0.5,2.6,3.2,14.5
4,Kemba Walker,29,17,17,36.9,6.6,15.1,.441,2.3,7.4,.310,4.4,7.6,.569,.518,4.1,4.8,.852,0.4,3.7,4.1,5.1,0.9,0.4,1.9,2.5,19.6
5,Gordon Hayward,29,5,1,31.4,4.0,10.0,.400,1.4,4.8,.292,2.6,5.2,.500,.470,1.4,1.6,.875,0.6,3.4,4.0,2.8,1.4,0.4,1.4,2.0,10.8
6,Daniel Theis,27,17,17,28.4,3.6,6.9,.521,0.2,1.5,.154,3.4,5.4,.626,.538,1.5,1.9,.788,1.9,5.2,7.1,1.5,0.4,1.2,0.9,3.9,8.9
7,Brad Wanamaker,30,17,0,16.1,1.7,3.5,.483,0.7,1.6,.444,1.0,1.9,.515,.583,0.8,0.9,.875,0.1,1.9,2.0,1.8,0.7,0.2,1.1,1.9,4.9
8,Robert Williams,22,13,0,11.5,1.8,2.4,.742,0.0,0.1,.000,1.8,2.3,.767,.742,0.2,0.5,.333,1.7,2.2,3.9,0.8,0.2,0.5,0.5,1.4,3.7
9,Grant Williams,21,17,0,10.0,0.9,1.5,.577,0.6,1.0,.588,0.3,0.5,.556,.769,0.4,0.6,.700,0.4,1.1,1.5,0.4,0.1,0.3,0.2,1.9,2.8
10,Semi Ojeleye,25,13,0,9.4,0.5,2.2,.250,0.4,1.8,.217,0.2,0.4,.400,.339,0.2,0.2,1.000,0.2,0.8,0.9,0.1,0.2,0.0,0.1,0.7,1.6
11,Enes Kanter,27,11,0,9.3,2.0,3.8,.524,0.1,0.1,1.000,1.9,3.7,.512,.536,0.5,0.9,.500,1.7,2.2,3.9,0.6,0.0,0.0,0.4,1.7,4.5
12,Romeo Langford,20,7,0,6.6,0.6,1.4,.400,0.1,0.3,.500,0.4,1.1,.375,.450,0.1,0.3,.500,0.0,0.4,0.4,0.3,0.1,0.0,0.3,0.6,1.4
13,Javonte Green,26,1,0,6.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
14,Carsen Edwards,21,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Tremont Waters,22,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,Vincent Poirier,26,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,Tacko Fall,24,2,0,1.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5
