,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jayson Tatum,21,17,690,,,,88%,12%,+5.9,+4.9,15,16,13,12,48,0,206,9,18
2,Jaylen Brown,23,17,672,,16%,77%,7%,,+4.1,-4.7,19,8,21,5,33,4,94,9,19
3,Marcus Smart,25,17,648,7%,87%,6%,,,+7.6,+11.2,26,9,17,7,26,11,184,10,3
4,Kemba Walker,29,17,628,100%,,,,,+5.9,+3.4,19,10,23,1,30,15,206,7,19
5,Daniel Theis,27,17,482,,,,,100%,+4.2,-2.0,6,5,32,3,13,6,62,5,10
6,Brad Wanamaker,30,17,273,54%,46%,,,,+1.2,-5.7,9,0,15,3,7,0,73,2,3
7,Grant Williams,21,17,170,,1%,46%,49%,5%,+4.9,-0.1,2,0,21,1,2,1,16,0,0
8,Gordon Hayward,29,5,157,,7%,62%,30%,1%,+2.2,-3.5,5,1,4,1,3,1,36,0,1
9,Robert Williams,22,13,149,,,,2%,98%,+6.4,+1.7,3,1,13,2,2,0,24,1,1
10,Semi Ojeleye,25,13,122,,,60%,38%,3%,-4.8,-11.6,0,0,4,0,1,0,3,0,1
11,Enes Kanter,27,11,102,,,,,100%,+14.3,+10.6,0,2,12,1,6,0,17,2,4
12,Romeo Langford,20,7,46,6%,36%,58%,,,+8.6,+3.8,1,0,3,0,0,2,6,0,2
13,Javonte Green,26,1,6,,50%,50%,,,+7.7,+2.7,0,0,1,0,0,0,0,0,0
14,Carsen Edwards,21,1,3,,100%,,,,-25.0,-30.2,0,0,0,0,0,0,0,0,0
15,Tacko Fall,24,2,3,,,,,100%,+16.7,+11.7,0,0,0,0,0,0,0,0,0
16,Tremont Waters,22,1,2,100%,,,,,-50.0,-55.2,0,0,0,0,0,0,3,0,0
17,Vincent Poirier,26,1,2,,,,,100%,-16.7,-21.8,0,0,0,0,0,0,2,0,0
