,,&nbsp;,,% of FGA by Distance,,FG% by Distance,,% of FG Ast\'d,,Dunks,,Corner 3s,,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,3P,&nbsp;,%FGA,#,&nbsp;,%3PA,3P%,&nbsp;,Att.,#
1,Jayson Tatum,21,17,690,.434,15.0,,.623,.219,.162,.162,.081,.377,,.471,.589,.389,.519,.222,.373,,.378,.638,,.042,11,,.071,.333,,1,0
2,Jaylen Brown,23,17,672,.476,14.1,,.583,.281,.139,.083,.080,.417,,.560,.728,.325,.333,.609,.358,,.606,.930,,.059,14,,.483,.345,,0,0
3,Marcus Smart,25,17,648,.394,18.9,,.379,.111,.121,.116,.030,.621,,.493,.727,.458,.348,.333,.333,,.378,.829,,.015,2,,.252,.452,,1,0
4,Kemba Walker,29,17,628,.441,18.6,,.508,.137,.074,.121,.176,.492,,.569,.657,.474,.613,.511,.310,,.230,.564,,.000,0,,.071,.556,,1,0
5,Daniel Theis,27,17,482,.521,8.9,,.778,.530,.120,.094,.034,.222,,.626,.726,.429,.545,.000,.154,,.789,1.000,,.274,27,,.192,.200,,0,0
6,Brad Wanamaker,30,17,273,.483,15.3,,.550,.183,.217,.100,.050,.450,,.515,.818,.462,.333,.000,.444,,.588,.667,,.000,0,,.148,.250,,0,0
7,Grant Williams,21,17,170,.577,16.8,,.346,.231,.077,.038,.000,.654,,.556,.667,.500,.000,,.588,,.800,1.000,,.077,2,,.647,.636,,0,0
8,Gordon Hayward,29,5,157,.400,17.2,,.520,.160,.060,.200,.100,.480,,.500,.625,.667,.400,.400,.292,,.538,1.000,,.000,0,,.292,.429,,0,0
9,Robert Williams,22,13,149,.742,3.6,,.968,.806,.097,.000,.065,.032,,.767,.840,.333,,.500,.000,,.652,,,.484,14,,1.000,.000,,0,0
10,Semi Ojeleye,25,13,122,.250,20.8,,.179,.143,.036,.000,.000,.821,,.400,.500,.000,,,.217,,1.000,1.000,,.036,1,,.522,.250,,0,0
11,Enes Kanter,27,11,102,.524,4.9,,.976,.571,.286,.048,.071,.024,,.512,.583,.417,.000,.667,1.000,,.571,1.000,,.024,1,,.000,,,0,0
12,Romeo Langford,20,7,46,.400,11.0,,.800,.200,.400,.200,.000,.200,,.375,1.000,.000,.500,,.500,,.667,1.000,,.300,2,,.000,,,0,0
13,Javonte Green,26,1,6,.500,27.0,,.000,.000,.000,.000,.000,1.000,,,,,,,.500,,,.000,,.000,0,,.000,,,0,0
14,Carsen Edwards,21,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
15,Tacko Fall,24,2,3,1.000,10.0,,1.000,.000,.000,1.000,.000,.000,,1.000,,,1.000,,,,1.000,,,.000,0,,,,,0,0
16,Tremont Waters,22,1,2,.000,24.0,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0
17,Vincent Poirier,26,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
