Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,21,17,17,690,145,334,.434,47,126,.373,98,208,.471,.504,100,123,.813,22,148,170,85,17,20,48,41,437
2,Jaylen Brown,23,17,17,672,137,288,.476,43,120,.358,94,168,.560,.550,53,63,.841,24,103,127,39,26,9,41,48,370
3,Marcus Smart,25,17,16,648,78,198,.394,41,123,.333,37,75,.493,.497,49,56,.875,10,79,89,78,21,8,45,55,246
4,Kemba Walker,29,17,17,628,113,256,.441,39,126,.310,74,130,.569,.518,69,81,.852,6,63,69,86,15,7,32,43,334
5,Daniel Theis,27,17,17,482,61,117,.521,4,26,.154,57,91,.626,.538,26,33,.788,32,89,121,25,6,21,15,66,152
6,Brad Wanamaker,30,17,0,273,29,60,.483,12,27,.444,17,33,.515,.583,14,16,.875,2,32,34,30,12,4,18,32,84
7,Grant Williams,21,17,0,170,15,26,.577,10,17,.588,5,9,.556,.769,7,10,.700,7,19,26,6,2,5,4,33,47
8,Gordon Hayward,29,5,1,157,20,50,.400,7,24,.292,13,26,.500,.470,7,8,.875,3,17,20,14,7,2,7,10,54
9,Robert Williams,22,13,0,149,23,31,.742,0,1,.000,23,30,.767,.742,2,6,.333,22,29,51,10,3,6,7,18,48
10,Semi Ojeleye,25,13,0,122,7,28,.250,5,23,.217,2,5,.400,.339,2,2,1.000,2,10,12,1,3,0,1,9,21
11,Enes Kanter,27,11,0,102,22,42,.524,1,1,1.000,21,41,.512,.536,5,10,.500,19,24,43,7,0,0,4,19,50
12,Romeo Langford,20,7,0,46,4,10,.400,1,2,.500,3,8,.375,.450,1,2,.500,0,3,3,2,1,0,2,4,10
13,Javonte Green,26,1,0,6,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,0,0,0,0,1,3
14,Carsen Edwards,21,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
15,Tacko Fall,24,2,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,1,1,0,0,0,0,0,3
16,Tremont Waters,22,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0
17,Vincent Poirier,26,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0
