Rk,&nbsp;,Salary
1,Kemba Walker,"$32,742,000"
2,Gordon Hayward,"$32,700,690"
3,Marcus Smart,"$12,553,471"
4,Jayson Tatum,"$7,830,000"
5,Jaylen Brown,"$6,534,829"
6,Daniel Theis,"$5,000,000"
7,Enes Kanter,"$4,767,000"
8,Romeo Langford,"$3,458,400"
9,Vincent Poirier,"$2,505,793"
10,Grant Williams,"$2,379,840"
11,Robert Williams,"$1,937,520"
12,Semi Ojeleye,"$1,618,520"
13,Brad Wanamaker,"$1,445,697"
14,Carsen Edwards,"$1,228,026"
15,Guerschon Yabusele,"$1,039,080"
16,Javonte Green,"$898,310"
17,Max Strus,"$415,414"
18,Demetrius Jackson,"$92,857"
19,Tremont Waters,$0
20,Tacko Fall,$0
