Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jayson Tatum,21,66,66,2265,552,1226,.450,189,469,.403,363,757,.480,.527,254,313,.812,64,396,460,200,93,57,155,136,1547
2,Jaylen Brown,23,57,57,1934,427,887,.481,129,338,.382,298,549,.543,.554,176,243,.724,62,302,364,118,65,20,125,167,1159
3,Marcus Smart,25,60,40,1919,256,682,.375,137,395,.347,119,287,.415,.476,127,152,.836,42,183,225,291,101,29,103,162,776
4,Kemba Walker,29,56,56,1742,378,889,.425,180,473,.381,198,416,.476,.526,209,242,.864,36,181,217,268,48,28,117,91,1145
5,Gordon Hayward,29,52,52,1740,350,700,.500,85,222,.383,265,478,.554,.561,124,145,.855,55,293,348,212,38,22,96,96,909
6,Daniel Theis,27,65,64,1566,241,426,.566,32,96,.333,209,330,.633,.603,87,114,.763,140,286,426,111,37,84,54,219,601
7,Brad Wanamaker,30,71,1,1369,162,362,.448,37,102,.363,125,260,.481,.499,126,136,.926,22,122,144,179,61,14,76,133,487
8,Grant Williams,21,69,5,1043,87,211,.412,24,96,.250,63,115,.548,.469,39,54,.722,59,119,178,68,30,36,50,163,237
9,Semi Ojeleye,25,69,6,1011,80,196,.408,48,127,.378,32,69,.464,.531,28,32,.875,26,119,145,37,21,5,19,80,236
10,Enes Kanter,27,58,7,983,199,348,.572,1,7,.143,198,341,.581,.573,70,99,.707,163,268,431,56,22,41,56,100,469
11,Javonte Green,26,48,2,468,63,126,.500,9,33,.273,54,93,.581,.536,28,42,.667,24,69,93,26,24,8,23,43,163
12,Robert Williams,22,29,1,388,64,88,.727,0,0,,64,88,.727,.727,22,34,.647,40,88,128,27,22,35,21,51,150
13,Romeo Langford,20,32,2,370,28,80,.350,5,27,.185,23,53,.434,.381,18,25,.720,15,26,41,13,8,8,11,33,79
14,Carsen Edwards,21,37,0,351,42,128,.328,24,76,.316,18,52,.346,.422,13,19,.684,6,41,47,24,12,4,15,34,121
15,Vincent Poirier,26,22,0,130,17,36,.472,1,2,.500,16,34,.471,.486,6,7,.857,13,30,43,8,2,9,8,25,41
16,Tremont Waters,22,11,1,119,14,49,.286,4,24,.167,10,25,.400,.327,8,8,1.000,0,12,12,16,10,2,15,13,40
17,Tacko Fall,24,7,0,33,11,14,.786,0,0,,11,14,.786,.786,1,3,.333,1,14,15,1,1,4,3,7,23
,Team Totals,,72,,17430,2971,6448,.461,905,2487,.364,2066,3961,.522,.531,1336,1668,.801,768,2549,3317,1655,595,406,995,1553,8183
