1,Jayson Tatum,tatumja01
2,Jaylen Brown,brownja02
3,Marcus Smart,smartma01
4,Kemba Walker,walkeke02
5,Evan Fournier,fournev01
6,Daniel Theis,theisda01
7,Tristan Thompson,thomptr01
8,Payton Pritchard,pritcpa01
9,Robert Williams,williro04
10,Jeff Teague,teaguje01
11,Grant Williams,willigr01
12,Semi Ojeleye,ojelese01
13,Romeo Langford,langfro01
14,Aaron Nesmith,nesmiaa01
15,Luke Kornet,kornelu01
16,Jabari Parker,parkeja01
17,Javonte Green,greenja02
18,Tremont Waters,watertr01
19,Carsen Edwards,edwarca01
20,Tacko Fall,fallta01
21,Moritz Wagner,wagnemo01
22,&nbsp;,Age
