1,James Harden,hardeja01
2,Kyrie Irving,irvinky01
3,Kevin Durant,duranke01
4,Joe Harris,harrijo01
5,Caris LeVert,leverca01
6,Jeff Green,greenje02
7,Jarrett Allen,allenja01
8,LaMarcus Aldridge,aldrila01
9,Landry Shamet,shamela01
10,Bruce Brown,brownbr01
11,DeAndre Jordan,jordade01
12,Blake Griffin,griffbl01
13,Spencer Dinwiddie,dinwisp01
14,Nicolas Claxton,claxtni01
15,Mike James,jamesmi02
16,Taurean Prince,princta02
17,Timothé Luwawu-Cabarrot,luwawti01
18,Tyler Johnson,johnsty01
19,Andre Roberson,roberan03
20,Alize Johnson,johnsal02
21,Chris Chiozza,chiozch01
22,Norvel Pelle,pelleno01
23,Reggie Perry,perryre01
24,Iman Shumpert,shumpim01
25,Tyler Cook,cookty01
26,Rodions Kurucs,kurucro01
27,Noah Vonleh,vonleno01
28,&nbsp;,Age
