1,Elton Brand,brandel01
2,Toni Kukoč,kukocto01
3,Rusty LaRue,larueru01
4,Metta World Peace,artesro01
5,Randy Brown,brownra02
6,Fred Hoiberg,hoibefr01
7,Hersey Hawkins,hawkihe01
8,Dickey Simpkins,simpkdi01
9,Matt Maloney,malonma01
10,Chris Carr,carrch01
11,B.J. Armstrong,armstbj01
12,John Starks,starkjo01
13,Dedric Willoughby,willode01
14,Corey Benjamin,benjaco01
15,Kornél Dávid,davidko01
16,Khalid Reeves,reevekh01
17,Will Perdue,perduwi01
18,Chris Anstey,anstech01
19,Michael Ruffin,ruffimi01
20,Lari Ketner,ketnela01
