Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Devonte\' Graham,24,63,53,2211,8.3,21.8,.382,4.9,13.3,.373,3.4,8.6,.397,4.3,5.3,.820,1.0,3.9,4.8,10.7,1.4,0.3,4.1,2.6,25.9,,109,116
2,Terry Rozier,25,63,63,2164,9.2,21.8,.423,4.0,9.8,.407,5.2,12.0,.436,3.8,4.4,.874,1.2,5.2,6.4,6.0,1.4,0.2,3.3,2.9,26.3,,108,115
3,Miles Bridges,21,65,64,1995,8.0,18.9,.424,2.5,7.5,.330,5.5,11.4,.486,2.7,3.3,.809,2.2,6.9,9.1,2.9,1.0,1.2,2.4,3.3,21.2,,103,114
4,P.J. Washington,21,58,57,1759,7.6,16.8,.455,2.4,6.6,.374,5.2,10.2,.507,2.5,3.9,.647,1.7,7.3,9.0,3.5,1.5,1.3,2.6,4.5,20.2,,105,112
5,Cody Zeller,27,58,39,1341,9.4,17.9,.524,0.7,2.8,.240,8.7,15.1,.577,4.6,6.7,.682,6.0,9.4,15.4,3.3,1.5,0.9,2.8,5.2,24.0,,116,111
6,Malik Monk,21,55,1,1169,9.1,20.9,.434,2.5,8.7,.284,6.6,12.2,.542,3.5,4.3,.820,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2,,102,115
7,Bismack Biyombo,27,53,29,1029,7.4,13.5,.543,0.0,0.0,,7.4,13.5,.543,4.4,7.4,.603,5.8,9.2,15.0,2.4,0.5,2.4,2.3,5.6,19.1,,116,112
8,Cody Martin,24,48,3,903,4.9,11.5,.430,1.0,4.3,.234,3.9,7.2,.546,2.3,3.6,.646,2.1,6.7,8.8,5.3,2.2,0.5,2.4,4.3,13.2,,104,112
9,Marvin Williams,33,41,1,808,5.8,13.0,.448,2.7,7.3,.376,3.1,5.8,.538,2.7,3.1,.860,0.9,5.8,6.8,2.5,1.6,1.4,1.6,4.4,17.1,,115,113
10,Dwayne Bacon,24,39,11,687,6.2,17.8,.348,1.4,4.9,.284,4.8,12.9,.373,2.6,3.9,.660,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
11,Nicolas Batum,31,22,3,505,2.8,8.0,.346,1.4,4.9,.286,1.4,3.2,.438,0.9,1.0,.900,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,,107,112
12,Willy Hernang\xc3\xb3mez,25,31,0,375,9.9,18.6,.532,0.7,2.9,.227,9.2,15.6,.590,4.9,7.9,.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,,110,110
13,Caleb Martin,24,18,1,317,5.8,13.3,.440,3.2,5.8,.541,2.7,7.4,.362,2.7,3.3,.810,1.6,4.4,6.0,3.6,1.9,1.1,2.4,5.1,17.5,,113,113
14,Jalen McDaniels,22,16,0,293,5.6,12.0,.471,1.5,4.1,.375,4.1,7.9,.522,2.4,2.9,.824,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2,,112,113
15,Michael Kidd-Gilchrist,26,12,0,160,5.6,16.6,.340,1.6,5.3,.294,4.1,11.3,.361,2.2,2.8,.778,2.8,8.1,11.0,3.1,0.0,0.9,2.2,5.6,15.0,,91,115
16,Joe Chealey,24,4,0,33,0.0,10.6,.000,0.0,6.1,.000,0.0,4.6,.000,3.0,3.0,1.000,0.0,0.0,0.0,1.5,6.1,0.0,3.0,3.0,3.0,,29,108
