,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Devonte\' Graham,24,63,2211,39%,61%,,,,-4.8,+8.0,111,43,28,7,85,20,1093,21,31
2,Terry Rozier,25,63,2164,100%,,,,,-10.1,-9.5,79,23,49,20,64,20,627,20,46
3,Miles Bridges,21,65,1995,,3%,72%,25%,,-9.9,-7.5,47,18,61,15,58,7,285,13,44
4,P.J. Washington,21,58,1759,,,6%,85%,9%,-6.9,+0.6,43,25,98,13,69,5,310,17,40
5,Cody Zeller,27,58,1341,,,,,100%,-9.4,-3.9,24,20,62,22,90,8,211,26,44
6,Malik Monk,21,55,1169,4%,85%,12%,,,-10.5,-5.4,52,12,38,8,49,7,269,12,29
7,Bismack Biyombo,27,53,1029,,,,3%,97%,-6.6,+0.7,12,12,51,13,60,3,116,12,33
8,Cody Martin,24,48,903,1%,26%,71%,3%,,-2.8,+6.1,21,13,33,5,32,31,231,9,10
9,Marvin Williams,33,41,808,,,,72%,28%,-6.0,+1.6,14,2,24,9,14,4,104,5,7
10,Dwayne Bacon,24,39,687,3%,43%,55%,,,-7.8,-0.9,12,11,21,6,29,4,137,9,20
11,Nicolas Batum,31,22,505,,,67%,32%,,-2.9,+5.1,11,3,13,0,4,13,158,1,4
12,Willy Hernang\xc3\xb3mez,25,31,375,,,,,100%,-4.4,+3.1,11,7,18,7,22,2,71,3,9
13,Caleb Martin,24,18,317,5%,73%,23%,,,-0.2,+7.7,9,2,15,1,10,8,56,1,3
14,Jalen McDaniels,22,16,293,,,,81%,19%,-4.2,+3.2,9,1,20,1,9,6,32,3,3
15,Michael Kidd-Gilchrist,26,12,160,,,30%,68%,2%,+10.2,+18.2,1,2,6,0,3,1,26,1,4
16,Joe Chealey,24,4,33,100%,,,,,-22.6,-15.7,1,0,1,0,1,0,2,0,1
