No.,Player,Pos,Ht,Wt,Birth Date,&nbsp;,Exp,College
7,Dwayne Bacon,SG,6-6,221,"August 30, 1995",,2,Florida State
5,Nicolas Batum,SF,6-9,230,"December 14, 1988",,11,
8,Bismack Biyombo,C,6-8,255,"August 28, 1992",,8,
0,Miles Bridges,SF,6-6,225,"March 21, 1998",,1,Michigan State
31,Joe Chealey,PG,6-3,190,"November 1, 1995",,1,College of Charleston
4,Devonte\' Graham,PG,6-1,195,"February 22, 1995",,1,Kansas
9,Willy Hernang\xc3\xb3mez,C,6-11,250,"May 27, 1994",,3,
14,Michael Kidd-Gilchrist,PF,6-6,232,"September 26, 1993",,7,Kentucky
10,Caleb Martin,SF,6-5,205,"September 28, 1995",,R,NC State
11,Cody Martin,SF,6-5,205,"September 28, 1995",,R,NC State
6,Jalen McDaniels,SF,6-10,205,"January 31, 1998",,R,San Diego State
1,Malik Monk,SG,6-3,200,"February 4, 1998",,2,Kentucky
3,Terry Rozier,PG,6-1,190,"March 17, 1994",,4,Louisville
25,P.J. Washington,PF,6-7,230,"August 23, 1998",,R,Kentucky
2,Marvin Williams,PF,6-8,237,"June 19, 1986",,14,UNC
40,Cody Zeller,C,7-0,240,"October 5, 1992",,6,Indiana
