1,Collin Sexton,sextoco01
2,Darius Garland,garlada01
3,Isaac Okoro,okorois01
4,Larry Nance Jr.,nancela02
5,Jarrett Allen,allenja01
6,Andre Drummond,drumman01
7,Cedi Osman,osmande01
8,Kevin Love,loveke01
9,Taurean Prince,princta02
10,Yogi Ferrell,ferreyo01
11,Damyean Dotson,dotsoda01
12,Dante Exum,exumda01
13,Dean Wade,wadede01
14,Isaiah Hartenstein,harteis01
15,Matthew Dellavedova,dellama01
16,Dylan Windler,windldy01
17,JaVale McGee,mcgeeja01
18,Quinn Cook,cookqu01
19,Brodric Thomas,thomabr01
20,Lamar Stevens,stevela01
21,Mfiondu Kabengele,kabenmf01
22,Thon Maker,makerth01
23,Jeremiah Martin,martije02
24,Anderson Varejão,varejan01
25,Marques Bolden,boldema01
