1,Luka Dončić,doncilu01
2,Kristaps Porziņģis,porzikr01
3,Dorian Finney-Smith,finnedo01
4,Tim Hardaway,hardati02
5,Dwight Powell,poweldw01
6,Maxi Kleber,klebima01
7,Seth Curry,curryse01
8,Trey Burke,burketr01
9,Delon Wright,wrighde01
10,Jalen Brunson,brunsja01
11,Justin Jackson,jacksju01
12,J.J. Barea,bareajo01
13,Courtney Lee,leeco01
14,Willie Cauley-Stein,caulewi01
15,Ryan Broekhoff,broekry01
16,Boban Marjanović,marjabo01
17,Michael Kidd-Gilchrist,kiddgmi01
18,Josh Reaves,reavejo02
19,Antonius Cleveland,clevean01
