1,Jamal Murray,murraja01
2,Nikola Jokić,jokicni01
3,Michael Porter Jr.,portemi01
4,Will Barton,bartowi01
5,Gary Harris,harriga01
6,Austin Rivers,riverau01
7,Aaron Gordon,gordoaa01
8,Monte Morris,morrimo01
9,Facundo Campazzo,campafa01
10,PJ Dozier,doziepj01
11,Paul Millsap,millspa01
12,JaMychal Green,greenja01
13,Shaquille Harrison,harrish01
14,JaVale McGee,mcgeeja01
15,Zeke Nnaji,nnajize01
16,R.J. Hampton,hamptrj01
17,Isaiah Hartenstein,harteis01
18,Vlatko Čančar,cancavl01
19,Markus Howard,howarma02
20,Bol Bol,bolbo01
21,Greg Whittington,whittgr01
22,Gary Clark,clarkga01
23,&nbsp;,Age
