1,Andre Drummond,drumman01
2,Luke Kennard,kennalu01
3,Blake Griffin,griffbl01
4,Bruce Brown,brownbr01
5,Tony Snell,snellto01
6,Reggie Jackson,jacksre01
7,Derrick Rose,rosede01
8,Langston Galloway,gallola01
9,Brandon Knight,knighbr03
10,Jordan McRae,mcraejo01
11,Sviatoslav Mykhailiuk,mykhasv01
12,Markieff Morris,morrima02
13,Christian Wood,woodch01
14,Sekou Doumbouya,doumbse01
15,John Henson,hensojo01
16,Tim Frazier,fraziti01
17,Thon Maker,makerth01
18,Donta Hall,halldo01
19,Derrick Walton,waltode01
20,Khyri Thomas,thomakh01
21,Louis King,kinglo02
22,Jordan Bone,bonejo01
