1,Jim Jackson,jacksji01
2,Latrell Sprewell,sprewla01
3,Donyell Marshall,marshdo01
4,Joe Smith,smithjo02
5,Clarence Weatherspoon,weathcl01
6,Erick Dampier,dampier01
7,Bimbo Coles,colesbi01
8,Brian Shaw,shawbr01
9,Muggsy Bogues,boguemu01
10,Jason Caffey,caffeja01
11,Tony Delk,delkto01
12,Brandon Williams,willibr01
13,B.J. Armstrong,armstbj01
14,David Vaughn,vaughda02
15,Carl Thomas,thomaca01
16,Gerald Madkins,madkige01
17,Felton Spencer,spencfe01
18,Adonal Foyle,foylead01
19,Todd Fuller,fulleto02
20,Dickey Simpkins,simpkdi01
21,Duane Ferrell,ferredu01
22,Jeff Grayer,grayeje01
