Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Kevin Durant,30,78,78,2702,12.7,24.4,.521,2.4,6.8,.353,10.3,17.5,.587,7.9,8.9,.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,,121,110
2,Klay Thompson,28,78,78,2652,11.8,25.2,.467,4.3,10.7,.402,7.4,14.4,.516,2.3,2.8,.816,0.7,4.7,5.4,3.3,1.5,0.8,2.1,2.8,30.1,,110,112
3,Stephen Curry,30,69,69,2331,12.9,27.3,.472,7.2,16.5,.437,5.7,10.8,.525,5.4,5.9,.916,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,,120,110
4,Draymond Green,28,66,66,2065,4.3,9.7,.445,1.1,3.8,.285,3.2,5.9,.549,1.5,2.1,.692,1.4,9.7,11.1,10.5,2.2,1.6,3.9,4.5,11.2,,108,106
5,Andre Iguodala,35,68,13,1578,4.6,9.1,.500,1.4,4.3,.333,3.1,4.8,.652,1.2,2.0,.582,1.4,6.2,7.6,6.5,1.8,1.5,1.6,2.9,11.7,,124,109
6,Kevon Looney,22,80,24,1481,7.0,11.1,.625,0.0,0.3,.100,6.9,10.8,.641,2.1,3.4,.619,6.2,7.2,13.4,4.0,1.5,1.7,1.6,6.8,16.1,,135,109
7,Jonas Jerebko,31,73,6,1218,6.4,13.9,.459,2.7,7.3,.367,3.7,6.5,.563,2.5,3.1,.800,2.8,8.4,11.2,3.7,1.1,0.7,1.7,5.4,17.9,,120,111
8,Quinn Cook,25,74,10,1059,9.2,19.7,.465,3.6,9.0,.405,5.5,10.7,.515,0.9,1.2,.769,1.0,6.1,7.1,5.2,0.9,0.1,2.2,4.1,22.9,,110,113
9,Alfonzo McKinnie,26,72,5,1003,6.4,13.0,.487,2.0,5.6,.356,4.4,7.4,.586,1.3,2.3,.563,3.8,7.9,11.7,1.5,0.9,0.7,1.4,6.4,16.0,,116,111
10,Shaun Livingston,33,64,0,967,5.4,10.3,.519,0.0,0.1,.000,5.4,10.2,.524,2.0,2.5,.784,2.1,3.7,5.8,5.6,1.5,1.3,1.9,3.6,12.7,,118,112
11,Jordan Bell,24,68,3,788,6.0,11.6,.516,0.0,0.1,.000,6.0,11.5,.521,1.5,2.5,.610,3.3,7.8,11.1,4.6,1.2,3.1,2.5,4.8,13.5,,109,108
12,DeMarcus Cousins,28,30,30,771,11.0,22.9,.480,1.6,5.9,.274,9.4,17.0,.551,6.5,8.9,.736,2.7,12.6,15.2,6.6,2.5,2.7,4.4,6.7,30.1,,109,102
13,Damian Jones,23,24,22,410,6.1,8.6,.716,0.0,0.0,,6.1,8.6,.716,2.8,4.3,.649,3.6,5.1,8.7,3.2,1.4,2.9,1.9,7.3,15.1,,137,109
14,Damion Lee,26,32,0,375,7.1,16.1,.441,3.4,8.6,.397,3.7,7.5,.492,2.4,2.8,.864,1.0,7.1,8.1,1.6,1.6,0.0,1.4,3.6,20.0,,112,111
15,Jacob Evans,21,30,1,204,4.2,12.4,.340,0.9,3.5,.267,3.3,8.9,.368,0.0,0.2,.000,1.4,4.4,5.8,5.4,1.2,0.7,2.6,6.5,9.3,,85,113
16,Andrew Bogut,34,11,5,134,6.4,12.8,.500,0.0,0.0,,6.4,12.8,.500,1.1,1.1,1.000,4.3,15.3,19.5,3.9,1.1,2.8,2.8,7.8,13.8,,107,104
17,Marcus Derrickson,22,11,0,67,11.4,23.4,.485,7.1,14.2,.500,4.3,9.2,.462,2.8,3.6,.800,5.7,3.6,9.2,0.7,0.0,0.7,2.1,6.4,32.7,,123,116
