Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,30,78,78,2702,9.6,18.4,.521,1.8,5.2,.353,7.8,13.3,.587,6.0,6.7,.885,0.4,6.2,6.6,6.1,0.8,1.1,3.0,2.1,27.0
2,Klay Thompson,28,78,78,2652,8.9,19.0,.467,3.3,8.1,.402,5.6,10.9,.516,1.8,2.1,.816,0.5,3.6,4.1,2.5,1.1,0.6,1.6,2.1,22.8
3,Stephen Curry,30,69,69,2331,9.8,20.7,.472,5.5,12.5,.437,4.3,8.2,.525,4.1,4.4,.916,0.7,5.0,5.7,5.6,1.4,0.4,3.0,2.6,29.1
4,Draymond Green,28,66,66,2065,3.3,7.4,.445,0.8,2.9,.285,2.5,4.5,.549,1.1,1.6,.692,1.0,7.3,8.4,7.9,1.7,1.2,2.9,3.4,8.5
5,Andre Iguodala,35,68,13,1578,3.4,6.9,.500,1.1,3.3,.333,2.3,3.6,.652,0.9,1.5,.582,1.1,4.7,5.7,4.9,1.4,1.2,1.2,2.2,8.9
6,Kevon Looney,22,80,24,1481,5.3,8.4,.625,0.0,0.2,.100,5.3,8.2,.641,1.6,2.6,.619,4.7,5.4,10.1,3.0,1.1,1.3,1.2,5.1,12.2
7,Jonas Jerebko,31,73,6,1218,4.8,10.5,.459,2.0,5.6,.367,2.8,4.9,.563,1.9,2.4,.800,2.1,6.4,8.5,2.8,0.8,0.5,1.3,4.0,13.6
8,Quinn Cook,25,74,10,1059,6.9,14.9,.465,2.8,6.8,.405,4.2,8.1,.515,0.7,0.9,.769,0.7,4.6,5.3,3.9,0.7,0.1,1.7,3.1,17.3
9,Alfonzo McKinnie,26,72,5,1003,4.8,9.9,.487,1.5,4.2,.356,3.3,5.6,.586,1.0,1.7,.563,2.9,6.0,8.9,1.1,0.6,0.5,1.1,4.8,12.1
10,Shaun Livingston,33,64,0,967,4.1,7.8,.519,0.0,0.1,.000,4.1,7.7,.524,1.5,1.9,.784,1.6,2.8,4.4,4.2,1.2,1.0,1.4,2.8,9.6
11,Jordan Bell,24,68,3,788,4.5,8.8,.516,0.0,0.1,.000,4.5,8.7,.521,1.1,1.9,.610,2.5,5.9,8.4,3.5,0.9,2.3,1.9,3.7,10.2
12,DeMarcus Cousins,28,30,30,771,8.3,17.3,.480,1.2,4.4,.274,7.1,12.9,.551,4.9,6.7,.736,2.0,9.5,11.5,5.0,1.9,2.1,3.4,5.1,22.8
13,Damian Jones,23,24,22,410,4.7,6.5,.716,0.0,0.0,,4.7,6.5,.716,2.1,3.2,.649,2.7,3.9,6.6,2.5,1.1,2.2,1.4,5.5,11.4
14,Damion Lee,26,32,0,375,5.4,12.2,.441,2.6,6.5,.397,2.8,5.7,.492,1.8,2.1,.864,0.8,5.4,6.1,1.2,1.2,0.0,1.1,2.7,15.2
15,Jacob Evans,21,30,1,204,3.2,9.4,.340,0.7,2.6,.267,2.5,6.7,.368,0.0,0.2,.000,1.1,3.4,4.4,4.1,0.9,0.5,1.9,4.9,7.1
16,Andrew Bogut,34,11,5,134,4.8,9.7,.500,0.0,0.0,,4.8,9.7,.500,0.8,0.8,1.000,3.2,11.6,14.8,3.0,0.8,2.1,2.1,5.9,10.5
17,Marcus Derrickson,22,11,0,67,8.6,17.7,.485,5.4,10.7,.500,3.2,7.0,.462,2.1,2.7,.800,4.3,2.7,7.0,0.5,0.0,0.5,1.6,4.8,24.7
