,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,&nbsp;,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Kevin Durant,30,78,2702,,,21%,69%,10%,+11.9,+16.7,126,58,79,21,211,14,1108,46,38
2,Klay Thompson,28,78,2652,7%,80%,13%,1%,,+6.6,-0.5,51,31,73,16,70,10,421,10,40
3,Stephen Curry,30,69,2331,98%,2%,,,,+13.2,+16.2,112,50,65,14,108,23,843,31,36
4,Draymond Green,28,66,2065,,,59%,39%,2%,+10.5,+7.8,127,19,93,16,38,22,1069,12,17
5,Andre Iguodala,35,68,1578,3%,34%,59%,5%,,+8.7,+3.3,37,6,48,1,29,10,505,7,4
6,Kevon Looney,22,80,1481,,,,10%,90%,+10.6,+6.1,15,12,121,19,53,5,300,15,30
7,Jonas Jerebko,31,73,1218,,,3%,70%,27%,+2.6,-6.0,21,9,55,9,37,11,231,11,13
8,Quinn Cook,25,74,1059,100%,,,,,-5.2,-16.1,31,13,40,3,14,1,261,6,19
9,Alfonzo McKinnie,26,72,1003,,23%,71%,7%,,+2.0,-6.3,11,4,66,5,23,6,76,8,20
10,Shaun Livingston,33,64,967,35%,64%,1%,,,+3.2,-4.8,25,4,31,7,25,2,275,7,11
11,Jordan Bell,24,68,788,,,,14%,86%,-3.6,-12.9,17,12,54,6,17,9,181,4,11
12,DeMarcus Cousins,28,30,771,,,,,100%,+4.6,-2.7,26,20,49,22,73,17,255,18,32
13,Damian Jones,23,24,410,,,,,100%,+2.1,-5.2,4,2,31,8,18,4,62,5,11
14,Damion Lee,26,32,375,4%,66%,30%,,,-5.7,-13.7,5,1,16,3,9,4,32,2,8
15,Jacob Evans,21,30,204,19%,80%,1%,,,-6.6,-14.1,6,4,18,0,1,0,52,1,3
16,Andrew Bogut,34,11,134,,,,,100%,+4.0,-2.9,3,2,11,2,1,3,25,1,1
17,Marcus Derrickson,22,11,67,,,49%,51%,,-4.4,-11.3,2,0,5,1,2,0,3,0,1
