Rk,&nbsp;,Age,G,MP,PER,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,&nbsp;,OWS,DWS,WS,WS/48,&nbsp;,OBPM,DBPM,BPM,VORP
1,Draymond Green,28,22,851,16.5,.561,.249,.310,5.7,23.9,15.1,30.8,1.8,3.8,24.2,17.5,,1.0,1.0,2.0,.111,,-0.4,5.3,4.9,1.5
2,Stephen Curry,30,22,846,22.6,.620,.566,.364,2.4,15.2,9.0,23.9,1.4,0.5,11.7,29.0,,2.8,0.4,3.3,.185,,5.8,-0.4,5.4,1.6
3,Klay Thompson,28,21,818,14.5,.575,.439,.114,1.7,10.1,6.0,8.3,1.7,1.8,9.1,22.1,,0.8,0.4,1.2,.072,,0.1,0.3,0.5,0.5
4,Andre Iguodala,35,21,629,15.2,.565,.482,.223,5.1,11.4,8.3,18.4,1.9,3.6,10.3,14.0,,1.1,0.5,1.5,.117,,1.1,3.1,4.2,1.0
5,Kevin Durant,30,12,442,26.8,.661,.329,.465,0.3,14.7,7.7,21.6,1.4,2.6,12.8,32.9,,1.6,0.3,1.9,.206,,4.6,0.1,4.7,0.7
6,Kevon Looney,22,21,432,16.6,.704,.000,.312,11.2,13.7,12.5,6.6,1.4,2.5,10.9,11.9,,1.2,0.3,1.5,.163,,1.1,2.1,3.3,0.6
7,Shaun Livingston,33,22,322,10.1,.517,.027,.333,4.0,6.9,5.5,13.0,1.5,1.2,8.5,12.7,,0.4,0.1,0.5,.075,,-2.8,0.6,-2.2,0.0
8,Alfonzo McKinnie,26,22,235,7.5,.521,.542,.169,8.6,15.7,12.2,2.3,0.4,0.4,8.6,12.8,,0.1,0.1,0.2,.040,,-2.6,-1.8,-4.4,-0.1
9,Quinn Cook,25,17,193,8.0,.495,.486,.057,1.2,9.3,5.4,8.8,0.8,0.5,7.7,17.5,,0.0,0.0,0.0,.006,,-3.4,-1.8,-5.2,-0.2
10,Andrew Bogut,34,19,179,17.3,.663,.000,.135,15.2,31.9,23.8,16.4,1.4,3.3,20.3,11.9,,0.5,0.2,0.7,.186,,0.1,4.3,4.4,0.3
11,DeMarcus Cousins,28,8,133,11.0,.477,.226,.472,8.0,25.2,16.9,20.7,1.8,4.4,22.9,27.1,,-0.2,0.2,-0.1,-0.023,,-5.9,3.7,-2.2,0.0
12,Jonas Jerebko,31,16,121,10.6,.381,.452,.143,14.7,17.6,16.2,13.2,0.4,1.6,4.3,16.7,,0.1,0.1,0.1,.047,,-2.1,-0.1,-2.2,0.0
13,Jordan Bell,24,15,106,18.7,.579,.000,.323,7.8,12.7,10.3,15.1,1.8,6.4,5.3,15.3,,0.3,0.1,0.4,.175,,-0.6,4.0,3.3,0.1
14,Jacob Evans,21,7,18,0.4,.500,.400,.000,0.0,6.2,3.2,7.5,0.0,0.0,28.6,16.9,,0.0,0.0,0.0,-0.133,,-8.3,-2.7,-11.0,0.0
15,Damian Jones,23,4,8,2.7,.798,.000,2.000,0.0,28.0,14.4,0.0,0.0,0.0,34.7,15.6,,0.0,0.0,0.0,-0.021,,-9.0,-4.2,-13.3,0.0
