Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Draymond Green,28,22,22,851,4.8,9.7,.498,0.5,2.4,.228,4.3,7.3,.587,2.2,3.0,.718,1.7,7.7,9.4,7.9,1.4,1.4,3.5,3.6,12.4
2,Stephen Curry,30,22,22,846,8.1,18.3,.441,3.9,10.4,.377,4.2,8.0,.524,6.3,6.7,.943,0.7,4.9,5.6,5.4,1.0,0.2,2.8,2.9,26.4
3,Klay Thompson,28,21,21,818,7.2,15.8,.456,3.1,7.0,.443,4.1,8.9,.465,1.6,1.8,.902,0.5,3.3,3.8,1.9,1.2,0.7,1.7,2.6,19.1
4,Andre Iguodala,35,21,15,629,4.7,9.5,.494,1.6,4.6,.350,3.1,4.9,.628,0.8,2.1,.378,1.5,3.7,5.2,4.8,1.4,1.3,1.2,2.5,11.8
5,Kevin Durant,30,12,12,442,10.2,19.8,.514,2.9,6.5,.438,7.3,13.3,.552,8.3,9.2,.903,0.1,4.7,4.8,4.4,1.1,1.0,3.5,3.1,31.5
6,Kevon Looney,22,21,1,432,5.3,7.7,.688,0.0,0.0,,5.3,7.7,.688,1.7,2.4,.724,3.4,4.4,7.8,1.7,1.0,0.9,1.1,4.2,12.4
7,Shaun Livingston,33,22,2,322,3.8,8.4,.453,0.0,0.2,.000,3.8,8.2,.466,2.3,2.8,.840,1.2,2.2,3.5,3.5,1.1,0.4,0.9,3.9,10.0
8,Alfonzo McKinnie,26,22,1,235,4.0,9.0,.441,1.5,4.9,.313,2.5,4.1,.593,0.6,1.5,.400,2.6,5.1,7.7,0.6,0.3,0.2,0.9,4.9,10.1
9,Quinn Cook,25,17,0,193,5.2,13.1,.400,2.1,6.3,.324,3.2,6.7,.472,0.7,0.7,1.000,0.4,3.0,3.4,2.2,0.6,0.2,1.1,2.4,13.2
10,Andrew Bogut,34,19,6,179,4.8,7.4,.649,0.0,0.0,,4.8,7.4,.649,0.8,1.0,.800,4.6,10.3,14.9,4.2,1.0,1.2,2.0,7.6,10.5
11,DeMarcus Cousins,28,8,5,133,5.7,14.3,.396,0.8,3.2,.250,4.9,11.1,.439,4.3,6.8,.640,2.4,8.1,10.6,5.1,1.4,1.6,5.1,6.5,16.5
12,Jonas Jerebko,31,16,0,121,3.6,12.5,.286,1.5,5.7,.263,2.1,6.8,.304,1.5,1.8,.833,4.5,5.7,10.1,3.6,0.3,0.6,0.6,2.7,10.1
13,Jordan Bell,24,15,2,106,5.8,10.5,.548,0.0,0.0,,5.8,10.5,.548,2.4,3.4,.700,2.4,4.1,6.5,3.7,1.4,2.4,0.7,4.4,13.9
14,Jacob Evans,21,7,0,18,4.0,10.0,.400,2.0,4.0,.500,2.0,6.0,.333,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,10.0
15,Damian Jones,23,4,1,8,4.5,4.5,1.000,0.0,0.0,,4.5,4.5,1.000,4.5,9.0,.500,0.0,9.0,9.0,0.0,0.0,0.0,4.5,13.5,13.5
