Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Klay Thompson,28,21,21,39.0,7.8,17.1,.456,3.3,7.5,.443,4.5,9.6,.465,.553,1.8,2.0,.902,0.6,3.5,4.1,2.1,1.3,0.7,1.8,2.8,20.7
2,Draymond Green,28,22,22,38.7,5.2,10.4,.498,0.6,2.6,.228,4.6,7.8,.587,.526,2.3,3.2,.718,1.9,8.3,10.1,8.5,1.5,1.5,3.8,3.9,13.3
3,Stephen Curry,30,22,22,38.5,8.6,19.6,.441,4.2,11.1,.377,4.5,8.5,.524,.548,6.7,7.1,.943,0.8,5.2,6.0,5.7,1.1,0.2,3.0,3.1,28.2
4,Kevin Durant,30,12,12,36.8,10.4,20.3,.514,2.9,6.7,.438,7.5,13.6,.552,.586,8.5,9.4,.903,0.1,4.8,4.9,4.5,1.1,1.0,3.6,3.2,32.3
5,Andre Iguodala,35,21,15,30.0,3.9,7.9,.494,1.3,3.8,.350,2.6,4.1,.628,.578,0.7,1.8,.378,1.3,3.0,4.3,4.0,1.1,1.1,1.0,2.0,9.8
6,Kevon Looney,22,21,1,20.6,3.0,4.4,.688,0.0,0.0,,3.0,4.4,.688,.688,1.0,1.4,.724,2.0,2.5,4.5,1.0,0.6,0.5,0.6,2.4,7.1
7,DeMarcus Cousins,28,8,5,16.6,2.6,6.6,.396,0.4,1.5,.250,2.3,5.1,.439,.425,2.0,3.1,.640,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6
8,Shaun Livingston,33,22,2,14.6,1.5,3.4,.453,0.0,0.1,.000,1.5,3.3,.466,.453,1.0,1.1,.840,0.5,0.9,1.4,1.4,0.5,0.2,0.4,1.6,4.0
9,Quinn Cook,25,17,0,11.4,1.6,4.1,.400,0.6,2.0,.324,1.0,2.1,.472,.479,0.2,0.2,1.000,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2
10,Alfonzo McKinnie,26,22,1,10.7,1.2,2.7,.441,0.5,1.5,.313,0.7,1.2,.593,.525,0.2,0.5,.400,0.8,1.5,2.3,0.2,0.1,0.0,0.3,1.5,3.0
11,Andrew Bogut,34,19,6,9.4,1.3,1.9,.649,0.0,0.0,,1.3,1.9,.649,.649,0.2,0.3,.800,1.2,2.7,3.9,1.1,0.3,0.3,0.5,2.0,2.7
12,Jonas Jerebko,31,16,0,7.6,0.8,2.6,.286,0.3,1.2,.263,0.4,1.4,.304,.345,0.3,0.4,.833,0.9,1.2,2.1,0.8,0.1,0.1,0.1,0.6,2.1
13,Jordan Bell,24,15,2,7.1,1.1,2.1,.548,0.0,0.0,,1.1,2.1,.548,.548,0.5,0.7,.700,0.5,0.8,1.3,0.7,0.3,0.5,0.1,0.9,2.7
14,Jacob Evans,21,7,0,2.6,0.3,0.7,.400,0.1,0.3,.500,0.1,0.4,.333,.500,0.0,0.0,,0.0,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.7
15,Damian Jones,23,4,1,2.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.3,0.5,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.8,0.8
