,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,&nbsp;,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Draymond Green,28,22,851,,,1%,75%,24%,+6.7,+16.8,58,9,40,12,29,14,437,7,16
2,Stephen Curry,30,22,846,93%,7%,,,,+6.1,+13.2,33,15,23,9,49,8,286,11,18
3,Klay Thompson,28,21,818,3%,75%,22%,,,+1.1,-10.0,13,12,29,7,15,3,100,2,11
4,Andre Iguodala,35,21,629,,16%,78%,6%,,+5.5,+5.0,17,4,22,0,13,9,197,1,3
5,Kevin Durant,30,12,442,,,46%,54%,,+8.6,+8.9,22,15,15,5,40,8,129,13,7
6,Kevon Looney,22,21,432,,,,3%,97%,+12.4,+15.3,4,4,24,5,12,1,46,1,2
7,Shaun Livingston,33,22,322,16%,80%,4%,,,-5.5,-12.6,6,2,16,0,13,2,75,1,6
8,Alfonzo McKinnie,26,22,235,,11%,79%,10%,,+1.8,-2.2,2,3,15,0,4,3,10,1,4
9,Quinn Cook,25,17,193,100%,,,,,-14.1,-21.4,3,1,7,1,1,1,28,1,4
10,Andrew Bogut,34,19,179,,,,,100%,-2.4,-7.0,4,1,15,4,3,3,44,1,1
11,DeMarcus Cousins,28,8,133,,,,,100%,-11.2,-16.7,7,6,11,4,11,0,43,2,8
12,Jonas Jerebko,31,16,121,,,3%,83%,15%,-1.5,-5.6,0,2,5,0,3,0,28,0,2
13,Jordan Bell,24,15,106,,,,7%,94%,-3.7,-7.9,0,0,6,2,5,0,28,0,3
14,Jacob Evans,21,7,18,9%,70%,20%,,,+11.0,+7.6,1,1,1,0,0,0,2,0,0
15,Damian Jones,23,4,8,,,,,100%,-5.9,-9.4,0,1,2,0,0,0,0,0,0
