,2-Pt Field Goals,3-Pt Field Goals
,% of FGA by Distance,FG% by Distance,,Dunks,,Corner,Heaves
Rk,&nbsp;,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast\'d,%FGA,Md.,%Ast\'d,%3PA,3P%,Att.,Md.
1,Draymond Green,28,22,851,.498,10.5,.751,.415,.201,.096,.039,.249,.587,.758,.391,.364,.333,.228,.693,.061,13,.923,.193,.091,2,0
2,Stephen Curry,30,22,846,.441,19.8,.434,.139,.102,.088,.104,.566,.524,.667,.318,.605,.467,.377,.388,.002,0,.576,.111,.407,9,0
3,Klay Thompson,28,21,818,.456,18.5,.561,.100,.075,.169,.217,.439,.465,.722,.481,.393,.397,.443,.734,.017,6,.886,.177,.429,1,0
4,Andre Iguodala,35,21,629,.494,15.0,.518,.313,.066,.066,.072,.482,.628,.808,.545,.182,.333,.350,.852,.223,35,.929,.388,.452,0,0
5,Kevin Durant,30,12,442,.514,16.6,.671,.144,.074,.247,.206,.329,.552,.886,.333,.450,.520,.438,.556,.091,22,.657,.088,.571,0,0
6,Kevon Looney,22,21,432,.688,4.4,1.000,.667,.183,.054,.097,.000,.688,.758,.706,.200,.444,,.813,.258,23,,,,0,0
7,Shaun Livingston,33,22,322,.453,10.1,.973,.293,.173,.400,.107,.027,.466,.682,.538,.300,.375,.000,.765,.133,9,,.000,,2,0
8,Alfonzo McKinnie,26,22,235,.441,14.8,.458,.271,.153,.017,.017,.542,.593,.750,.333,1.000,.000,.313,.813,.068,4,1.000,.719,.348,0,0
9,Quinn Cook,25,17,193,.400,18.8,.514,.114,.057,.114,.229,.486,.472,.750,.750,.250,.375,.324,.471,.000,0,.727,.147,.200,0,0
10,Andrew Bogut,34,19,179,.649,3.2,1.000,.730,.216,.054,.000,.000,.649,.778,.375,.000,,,.667,.189,7,,,,0,0
11,DeMarcus Cousins,28,8,133,.396,9.9,.774,.302,.377,.019,.075,.226,.439,.688,.300,1.000,.000,.250,.778,.038,2,1.000,.000,,0,0
12,Jonas Jerebko,31,16,121,.286,17.4,.548,.143,.167,.071,.167,.452,.304,.667,.000,.333,.286,.263,.857,.024,1,1.000,.526,.300,1,0
13,Jordan Bell,24,15,106,.548,5.5,1.000,.613,.097,.258,.032,.000,.548,.579,.667,.500,.000,,.706,.226,5,,,,0,0
14,Jacob Evans,21,7,18,.400,20.4,.600,.000,.200,.000,.400,.400,.333,,.000,,.500,.500,1.000,.000,0,1.000,.500,1.000,0,0
15,Damian Jones,23,4,8,1.000,2.0,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,.000,0,,,,0,0
