Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Draymond Green,28,22,22,851,114,229,.498,13,57,.228,101,172,.587,.526,51,71,.718,41,182,223,187,32,33,83,85,292
2,Stephen Curry,30,22,22,846,190,431,.441,92,244,.377,98,187,.524,.548,148,157,.943,17,115,132,126,24,4,66,68,620
3,Klay Thompson,28,21,21,818,164,360,.456,70,158,.443,94,202,.465,.553,37,41,.902,12,74,86,44,28,15,38,59,435
4,Andre Iguodala,35,21,15,629,82,166,.494,28,80,.350,54,86,.628,.578,14,37,.378,27,64,91,83,24,23,21,43,206
5,Kevin Durant,30,12,12,442,125,243,.514,35,80,.438,90,163,.552,.586,102,113,.903,1,58,59,54,13,12,43,38,387
6,Kevon Looney,22,21,1,432,64,93,.688,0,0,,64,93,.688,.688,21,29,.724,41,53,94,20,12,11,13,50,149
7,Shaun Livingston,33,22,2,322,34,75,.453,0,2,.000,34,73,.466,.453,21,25,.840,11,20,31,31,10,4,8,35,89
8,Alfonzo McKinnie,26,22,1,235,26,59,.441,10,32,.313,16,27,.593,.525,4,10,.400,17,33,50,4,2,1,6,32,66
9,Quinn Cook,25,17,0,193,28,70,.400,11,34,.324,17,36,.472,.479,4,4,1.000,2,16,18,12,3,1,6,13,71
10,Andrew Bogut,34,19,6,179,24,37,.649,0,0,,24,37,.649,.649,4,5,.800,23,51,74,21,5,6,10,38,52
11,DeMarcus Cousins,28,8,5,133,21,53,.396,3,12,.250,18,41,.439,.425,16,25,.640,9,30,39,19,5,6,19,24,61
12,Jonas Jerebko,31,16,0,121,12,42,.286,5,19,.263,7,23,.304,.345,5,6,.833,15,19,34,12,1,2,2,9,34
13,Jordan Bell,24,15,2,106,17,31,.548,0,0,,17,31,.548,.548,7,10,.700,7,12,19,11,4,7,2,13,41
14,Jacob Evans,21,7,0,18,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,1,1,1,0,0,2,1,5
15,Damian Jones,23,4,1,8,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,2,2,0,0,0,1,3,3
