No.,Player,Pos,Ht,Wt,Birth Date,&nbsp;,Exp,College
11,Klay Thompson,SG,6-7,215,"February 8, 1990",,8,Washington State University
23,Draymond Green,PF,6-7,230,"March 4, 1990",,7,Michigan State University
15,Damian Jones,C,7-0,245,"June 30, 1995",,3,Vanderbilt University
2,Jordan Bell,C,6-9,224,"January 7, 1995",,2,University of Oregon
30,Stephen Curry,PG,6-3,190,"March 14, 1988",,10,Davidson College
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",,15,University of Arizona
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",,14,
4,Quinn Cook,PG,6-2,179,"March 23, 1993",,3,Duke University
10,Jacob Evans,SG,6-6,210,"June 18, 1997",,1,University of Cincinnati
0,DeMarcus Cousins,C,6-11,270,"August 13, 1990",,9,University of Kentucky
35,Kevin Durant,SF,6-9,240,"September 29, 1988",,12,University of Texas at Austin
5,Kevon Looney,C,6-9,220,"February 6, 1996",,4,"University of California, Los Angeles"
21,Jonas Jerebko,PF,6-10,231,"March 2, 1987",,9,
1,Damion Lee,SG,6-6,210,"October 21, 1992",,2,Drexel University
32,Marcus Derrickson,PF,6-7,249,"February 1, 1996",,1,Georgetown University
28,Alfonzo McKinnie,SF,6-8,215,"September 17, 1992",,2,University of Wisconsin-Green Bay
12,Andrew Bogut,C,7-0,260,"November 28, 1984",,14,University of Utah
