Rk,&nbsp;,Salary
1,Stephen Curry,"$37,457,154"
2,Kevin Durant,"$30,000,000"
3,Klay Thompson,"$18,988,725"
4,Draymond Green,"$17,469,565"
5,Andre Iguodala,"$16,000,000"
6,Shaun Livingston,"$8,307,692"
7,DeMarcus Cousins,"$5,337,000"
8,Andrew Bogut,"$2,393,887"
9,Jonas Jerebko,"$2,165,481"
10,Jacob Evans,"$1,644,240"
11,Kevon Looney,"$1,567,007"
12,Quinn Cook,"$1,544,951"
13,Damian Jones,"$1,544,951"
14,Jordan Bell,"$1,378,252"
15,Alfonzo McKinnie,"$1,349,383"
16,Jason Thompson,"$945,126"
