,2-Pt Field Goals,3-Pt Field Goals
,% of FGA by Distance,FG% by Distance,,Dunks,,Corner,Heaves
Rk,&nbsp;,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast\'d,%FGA,Md.,%Ast\'d,%3PA,3P%,Att.,Md.
1,Kevin Durant,30,78,2702,.521,14.9,.719,.189,.106,.238,.187,.281,.587,.752,.541,.517,.535,.353,.471,.087,114,.569,.077,.233,0,0
2,Klay Thompson,28,78,2652,.467,17.7,.573,.138,.073,.148,.215,.427,.516,.715,.422,.478,.445,.402,.746,.019,24,.917,.210,.460,0,0
3,Stephen Curry,30,69,2331,.472,19.7,.396,.143,.096,.046,.110,.604,.525,.649,.488,.419,.439,.437,.464,.002,1,.689,.148,.517,11,1
4,Draymond Green,28,66,2065,.445,13.4,.609,.358,.135,.066,.050,.391,.549,.702,.316,.393,.286,.285,.702,.064,25,.936,.133,.455,1,0
5,Andre Iguodala,35,68,1578,.500,14.9,.523,.344,.050,.056,.073,.477,.652,.856,.200,.294,.273,.333,.757,.228,69,.958,.410,.407,1,0
6,Kevon Looney,22,80,1481,.625,4.7,.971,.709,.133,.035,.095,.029,.641,.724,.304,.583,.515,.100,.704,.314,105,1.000,.400,.000,1,0
7,Jonas Jerebko,31,73,1218,.459,16.7,.470,.262,.079,.042,.087,.530,.563,.667,.286,.600,.484,.367,.766,.042,14,1.000,.271,.392,1,1
8,Quinn Cook,25,74,1059,.465,17.5,.544,.157,.089,.118,.180,.456,.515,.609,.436,.442,.519,.405,.407,.002,0,.815,.205,.439,1,0
9,Alfonzo McKinnie,26,72,1003,.487,12.9,.571,.404,.091,.029,.047,.429,.586,.685,.320,.500,.308,.356,.717,.138,33,1.000,.508,.333,0,0
10,Shaun Livingston,33,64,967,.519,8.8,.990,.310,.219,.419,.043,.010,.524,.677,.478,.432,.556,.000,.541,.124,23,,.000,,2,0
11,Jordan Bell,24,68,788,.516,8.1,.990,.484,.109,.172,.224,.010,.521,.688,.381,.455,.279,.000,.737,.198,32,,.000,,1,0
12,DeMarcus Cousins,28,30,771,.480,10.1,.744,.415,.251,.035,.043,.256,.551,.656,.441,.385,.313,.274,.566,.067,23,1.000,.042,.000,0,0
13,Damian Jones,23,24,410,.716,3.0,1.000,.784,.149,.014,.054,.000,.716,.793,.455,.000,.500,,.887,.500,35,,,,0,0
14,Damion Lee,26,32,375,.441,18.3,.465,.134,.094,.094,.142,.535,.492,.471,.583,.417,.500,.397,.793,.000,0,.889,.368,.520,0,0
15,Jacob Evans,21,30,204,.340,16.1,.717,.151,.113,.170,.283,.283,.368,.375,.333,.556,.267,.267,.500,.019,1,1.000,.200,.333,0,0
16,Andrew Bogut,34,11,134,.500,4.2,1.000,.611,.250,.111,.028,.000,.500,.591,.333,.500,.000,,.611,.167,5,,,,0,0
17,Marcus Derrickson,22,11,67,.485,20.6,.394,.091,.061,.121,.121,.606,.462,.667,.000,.500,.500,.500,.667,.000,0,.800,.250,.400,0,0
