1,James Harden,hardeja01
2,Russell Westbrook,westbru01
3,P.J. Tucker,tuckepj01
4,Robert Covington,covinro01
5,Clint Capela,capelca01
6,Danuel House,houseda01
7,Eric Gordon,gordoer01
8,Austin Rivers,riverau01
9,Ben McLemore,mclembe01
10,Jeff Green,greenje02
11,DeMarre Carroll,carrode01
12,Gary Clark,clarkga01
13,Isaiah Hartenstein,harteis01
14,Michael Frazier,frazimi01
15,Thabo Sefolosha,sefolth01
16,Chris Clemons,clemoch01
17,Tyson Chandler,chandty01
18,Luc Mbah a Moute,mbahalu01
19,Ryan Anderson,anderry01
20,William Howard,howarwi01
21,Bruno Caboclo,cabocbr01
