1,Domantas Sabonis,sabondo01
2,Malcolm Brogdon,brogdma01
3,Victor Oladipo,oladivi01
4,Caris LeVert,leverca01
5,Myles Turner,turnemy01
6,Justin Holiday,holidju01
7,T.J. Warren,warretj01
8,T.J. McConnell,mccontj01
9,Oshae Brissett,brissos01
10,Doug McDermott,mcderdo01
11,Jeremy Lamb,lambje01
12,Aaron Holiday,holidaa01
13,Edmond Sumner,sumneed01
14,Goga Bitadze,bitadgo01
15,JaKarr Sampson,sampsja02
16,Kelan Martin,martike03
17,Amida Brimah,brimaam01
18,Cassius Stanley,stanlca01
19,Jalen Lecque,lecquja01
20,Brian Bowen,bowenbr02
