Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lou Williams,33,65,8,1864,7.6,18.1,.418,2.1,6.1,.352,5.4,12.0,.451,5.6,6.5,.861,0.6,3.3,3.9,7.0,0.8,0.2,3.5,1.5,22.9
2,Kawhi Leonard,28,57,57,1848,10.4,22.1,.470,2.4,6.3,.378,8.0,15.7,.506,6.9,7.8,.886,1.1,6.8,7.8,5.5,2.0,0.6,2.9,2.2,30.1
3,Montrezl Harrell,26,63,2,1749,9.7,16.7,.580,0.0,0.4,.000,9.7,16.3,.593,4.8,7.2,.658,3.4,5.8,9.2,2.2,0.8,1.5,2.2,3.0,24.1
4,Landry Shamet,22,53,30,1452,3.9,9.7,.404,2.8,7.3,.375,1.2,2.4,.495,1.6,1.9,.855,0.1,2.3,2.5,2.5,0.5,0.2,1.0,3.5,12.2
5,Paul George,29,48,48,1419,8.7,19.8,.439,4.0,9.7,.412,4.7,10.2,.464,4.8,5.5,.876,0.6,6.3,6.9,4.7,1.7,0.5,3.2,2.9,26.2
6,Patrick Beverley,31,51,50,1342,3.9,9.1,.431,2.1,5.5,.388,1.8,3.6,.496,0.8,1.3,.660,1.5,5.6,7.1,4.9,1.4,0.7,1.8,4.2,10.9
7,Ivica Zubac,22,72,70,1326,6.4,10.5,.613,0.0,0.1,.000,6.4,10.4,.616,3.4,4.5,.747,5.3,9.4,14.7,2.2,0.4,1.8,1.7,4.6,16.2
8,JaMychal Green,29,63,1,1307,4.2,9.7,.429,2.5,6.6,.387,1.6,3.1,.518,1.0,1.3,.750,2.1,8.6,10.7,1.3,0.8,0.7,1.5,4.8,11.8
9,Maurice Harkless,26,50,38,1141,3.5,6.8,.516,0.9,2.3,.370,2.7,4.5,.590,0.8,1.3,.571,1.5,4.8,6.3,1.5,1.5,0.9,1.5,3.8,8.7
10,Rodney McGruder,28,56,4,871,3.0,7.5,.398,1.0,3.7,.270,2.0,3.8,.522,0.8,1.4,.559,1.2,5.0,6.2,1.5,1.1,0.3,1.0,3.1,7.7
11,Patrick Patterson,30,59,18,776,4.4,10.8,.408,3.1,8.0,.390,1.3,2.8,.459,1.6,2.0,.814,1.6,5.4,7.0,1.9,0.3,0.1,1.0,2.5,13.5
12,Marcus Morris,30,19,19,549,4.9,11.4,.425,1.7,5.5,.310,3.1,5.9,.533,1.2,1.4,.818,0.7,4.4,5.1,1.8,0.9,0.9,1.6,3.4,12.6
13,Jerome Robinson,22,42,1,476,3.5,10.3,.338,1.4,5.1,.284,2.0,5.2,.391,0.8,1.4,.579,0.4,4.2,4.5,3.5,1.0,0.6,2.0,4.2,9.2
14,Terance Mann,23,41,6,362,3.7,7.9,.468,0.7,2.0,.350,3.0,5.9,.508,1.8,2.7,.667,1.0,4.5,5.5,5.3,1.1,0.5,1.8,4.6,9.8
15,Reggie Jackson,29,17,6,362,5.8,12.7,.453,2.6,6.3,.413,3.2,6.5,.492,1.9,2.1,.905,0.6,4.5,5.1,5.4,0.5,0.4,2.8,3.8,16.0
16,Derrick Walton,24,23,1,222,2.8,5.8,.472,1.5,3.4,.429,1.3,2.4,.533,1.1,1.5,.778,0.3,2.1,2.4,3.6,0.6,0.0,0.6,3.1,8.1
17,Amir Coffey,22,18,1,159,5.2,12.2,.426,1.4,4.3,.316,3.8,7.9,.486,1.4,2.5,.545,0.9,2.7,3.6,3.2,1.1,0.5,1.8,4.5,13.1
18,Mfiondu Kabengele,22,12,0,64,7.9,18.0,.438,5.1,11.3,.450,2.8,6.8,.417,2.8,2.8,1.000,0.6,5.6,6.2,1.1,1.1,1.1,1.1,5.1,23.6
19,Joakim Noah,34,5,0,50,2.9,5.8,.500,0.0,0.0,,2.9,5.8,.500,4.3,5.8,.750,3.6,7.9,11.5,5.0,0.7,0.7,4.3,6.5,10.1
20,Johnathan Motley,24,13,0,41,9.7,13.2,.733,0.9,0.9,1.000,8.8,12.3,.714,4.4,6.1,.714,2.6,6.1,8.8,7.0,2.6,0.0,4.4,5.3,24.6
