Rk,Player,Age,G,MP,PER,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,&nbsp;,OWS,DWS,WS,WS/48,&nbsp;,OBPM,DBPM,BPM,VORP
1,Kawhi Leonard,28,13,511,27.8,.593,.272,.351,5.2,21.4,13.2,23.9,2.9,2.1,9.6,29.3,,1.6,0.8,2.4,.228,,6.4,2.9,9.4,1.5
2,Paul George,29,13,479,14.7,.536,.502,.249,3.2,15.3,9.2,15.5,1.9,1.4,14.0,26.1,,0.1,0.5,0.6,.063,,0.4,0.0,0.4,0.3
3,Marcus Morris,30,13,388,14.4,.653,.532,.126,3.1,15.1,9.1,7.7,1.4,0.2,7.1,14.2,,0.8,0.3,1.2,.146,,1.5,1.6,3.1,0.5
4,Lou Williams,33,13,341,15.1,.511,.349,.253,2.3,11.3,6.7,24.3,1.4,0.6,11.5,23.5,,0.2,0.3,0.5,.072,,0.7,-0.7,0.1,0.2
5,Ivica Zubac,22,13,320,16.0,.626,.000,.474,10.7,21.9,16.2,3.5,0.3,3.0,11.3,14.5,,0.7,0.3,1.0,.151,,0.0,-0.5,-0.5,0.1
6,Montrezl Harrell,26,13,243,17.4,.608,.061,.829,5.0,12.5,8.7,3.2,1.0,2.8,9.7,22.3,,0.4,0.2,0.6,.126,,-0.2,-0.3,-0.5,0.1
7,Landry Shamet,22,13,243,7.1,.548,.712,.119,0.0,10.2,5.0,9.4,1.2,1.2,17.3,13.5,,-0.1,0.2,0.1,.023,,-2.4,0.6,-1.8,0.0
8,JaMychal Green,29,13,222,13.7,.670,.418,.164,6.5,18.3,12.3,4.5,0.4,1.3,7.8,12.6,,0.5,0.2,0.7,.146,,0.6,0.9,1.6,0.2
9,Reggie Jackson,29,12,170,10.0,.615,.667,.000,1.3,12.6,6.9,9.0,0.6,0.6,9.4,13.7,,0.2,0.1,0.3,.089,,0.0,-0.2,-0.2,0.1
10,Patrick Beverley,31,8,166,13.7,.613,.564,.103,6.0,16.3,11.1,15.8,2.4,1.7,14.7,12.6,,0.3,0.2,0.5,.146,,-1.1,3.6,2.6,0.2
11,Terance Mann,23,13,27,1.0,.400,.400,.000,0.0,29.3,14.5,4.8,1.8,0.0,28.6,11.4,,-0.1,0.0,0.0,-0.060,,-8.3,1.4,-6.8,0.0
12,Rodney McGruder,28,5,16,25.8,.800,.600,.000,6.9,21.2,13.9,19.0,0.0,0.0,0.0,13.7,,0.1,0.0,0.1,.304,,9.3,2.5,11.8,0.1
13,Patrick Patterson,30,2,10,53.4,1.500,1.000,.000,0.0,11.3,5.6,73.3,0.0,0.0,0.0,13.1,,0.2,0.0,0.2,.906,,28.1,11.3,39.4,0.1
14,Amir Coffey,22,3,7,21.4,.258,.333,.667,0.0,0.0,0.0,67.6,7.0,0.0,0.0,24.3,,0.0,0.0,0.0,.099,,3.4,7.1,10.5,0.0
15,Joakim Noah,34,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.004,,-3.2,-2.6,-5.8,0.0
