Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,28,13,13,511,9.2,18.9,.489,1.7,5.1,.329,7.5,13.7,.549,5.7,6.6,.862,1.7,6.8,8.5,5.1,2.1,0.8,2.3,2.0,25.9
2,Paul George,29,13,13,479,6.6,16.6,.398,2.8,8.3,.333,3.8,8.3,.464,3.8,4.1,.909,1.1,4.9,5.9,3.7,1.4,0.5,3.0,3.7,19.8
3,Marcus Morris,30,13,13,388,5.2,10.3,.505,2.6,5.5,.475,2.6,4.8,.538,1.2,1.3,.929,1.0,4.8,5.8,1.9,1.0,0.1,0.8,3.6,14.2
4,Lou Williams,33,13,0,341,6.5,15.4,.425,1.3,5.4,.235,5.3,10.0,.526,3.2,3.9,.811,0.7,3.6,4.3,5.8,1.1,0.2,2.2,1.9,17.5
5,Ivica Zubac,22,13,13,320,5.0,8.8,.564,0.0,0.0,,5.0,8.8,.564,3.4,4.2,.811,3.5,7.0,10.5,0.9,0.2,1.1,1.4,3.8,13.3
6,Montrezl Harrell,26,13,0,243,7.0,12.1,.573,0.1,0.7,.200,6.8,11.4,.597,6.1,10.1,.603,1.6,4.0,5.6,0.7,0.7,1.0,1.8,4.1,20.1
7,Landry Shamet,22,13,4,243,3.6,8.7,.407,2.2,6.2,.357,1.3,2.5,.529,0.7,1.0,.714,0.0,3.3,3.3,2.5,0.9,0.4,1.9,2.7,10.1
8,JaMychal Green,29,13,0,222,5.0,8.9,.564,1.6,3.7,.435,3.4,5.2,.656,1.1,1.5,.778,2.1,5.8,7.9,1.1,0.3,0.5,0.8,4.7,12.8
9,Reggie Jackson,29,12,1,170,4.4,10.2,.438,3.6,6.8,.531,0.8,3.4,.250,0.0,0.0,,0.4,4.0,4.4,2.3,0.4,0.2,1.1,3.8,12.5
10,Patrick Beverley,31,8,8,166,4.3,8.5,.513,1.7,4.8,.364,2.6,3.7,.706,0.4,0.9,.500,2.0,5.2,7.2,4.1,1.7,0.7,1.5,6.7,10.8
11,Terance Mann,23,13,0,27,2.7,6.7,.400,0.0,2.7,.000,2.7,4.0,.667,0.0,0.0,,0.0,9.3,9.3,1.3,1.3,0.0,2.7,5.3,5.3
12,Rodney McGruder,28,5,0,16,6.8,11.3,.600,4.5,6.8,.667,2.3,4.5,.500,0.0,0.0,,2.3,6.8,9.0,4.5,0.0,0.0,0.0,0.0,18.0
13,Patrick Patterson,30,2,0,10,10.8,10.8,1.000,10.8,10.8,1.000,0.0,0.0,,0.0,0.0,,0.0,3.6,3.6,14.4,0.0,0.0,0.0,3.6,32.4
14,Amir Coffey,22,3,0,7,0.0,15.4,.000,0.0,5.1,.000,0.0,10.3,.000,10.3,10.3,1.000,0.0,0.0,0.0,20.6,5.1,0.0,0.0,0.0,10.3
15,Joakim Noah,34,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
