Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,28,13,13,39.3,10.1,20.6,.489,1.8,5.6,.329,8.2,15.0,.549,.534,6.2,7.2,.862,1.8,7.5,9.3,5.5,2.3,0.8,2.5,2.2,28.2
2,Paul George,29,13,13,36.8,6.8,17.0,.398,2.8,8.5,.333,3.9,8.5,.464,.482,3.8,4.2,.909,1.1,5.0,6.1,3.8,1.5,0.5,3.1,3.8,20.2
3,Marcus Morris,30,13,13,29.8,4.3,8.5,.505,2.2,4.5,.475,2.2,4.0,.538,.631,1.0,1.1,.929,0.8,4.0,4.8,1.6,0.8,0.1,0.7,3.0,11.8
4,Lou Williams,33,13,0,26.2,4.8,11.2,.425,0.9,3.9,.235,3.8,7.3,.526,.466,2.3,2.8,.811,0.5,2.6,3.2,4.2,0.8,0.2,1.6,1.4,12.8
5,Ivica Zubac,22,13,13,24.6,3.4,6.0,.564,0.0,0.0,,3.4,6.0,.564,.564,2.3,2.8,.811,2.4,4.8,7.2,0.6,0.2,0.8,0.9,2.6,9.1
6,Patrick Beverley,31,8,8,20.8,2.5,4.9,.513,1.0,2.8,.364,1.5,2.1,.706,.615,0.3,0.5,.500,1.1,3.0,4.1,2.4,1.0,0.4,0.9,3.9,6.3
7,Montrezl Harrell,26,13,0,18.7,3.6,6.3,.573,0.1,0.4,.200,3.5,5.9,.597,.579,3.2,5.2,.603,0.8,2.1,2.9,0.4,0.4,0.5,0.9,2.2,10.5
8,Landry Shamet,22,13,4,18.7,1.8,4.5,.407,1.2,3.2,.357,0.7,1.3,.529,.534,0.4,0.5,.714,0.0,1.7,1.7,1.3,0.5,0.2,1.0,1.4,5.2
9,JaMychal Green,29,13,0,17.1,2.4,4.2,.564,0.8,1.8,.435,1.6,2.5,.656,.655,0.5,0.7,.778,1.0,2.8,3.8,0.5,0.2,0.2,0.4,2.2,6.1
10,Reggie Jackson,29,12,1,14.2,1.8,4.0,.438,1.4,2.7,.531,0.3,1.3,.250,.615,0.0,0.0,,0.2,1.6,1.8,0.9,0.2,0.1,0.4,1.5,4.9
11,Patrick Patterson,30,2,0,5.0,1.5,1.5,1.000,1.5,1.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.5,4.5
12,Rodney McGruder,28,5,0,3.2,0.6,1.0,.600,0.4,0.6,.667,0.2,0.4,.500,.800,0.0,0.0,,0.2,0.6,0.8,0.4,0.0,0.0,0.0,0.0,1.6
13,Amir Coffey,22,3,0,2.3,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.7,0.7,1.000,0.0,0.0,0.0,1.3,0.3,0.0,0.0,0.0,0.7
14,Terance Mann,23,13,0,2.1,0.2,0.4,.400,0.0,0.2,.000,0.2,0.2,.667,.400,0.0,0.0,,0.0,0.5,0.5,0.1,0.1,0.0,0.2,0.3,0.3
15,Joakim Noah,34,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
