,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Kawhi Leonard,28,13,511,,64%,34%,2%,,+2.3,-8.8,13,13,9,4,33,1,179,9,12
2,Paul George,29,13,479,,1%,86%,13%,,+3.3,-2.7,20,9,13,10,26,14,123,7,9
3,Marcus Morris,30,13,388,,,1%,92%,7%,+9.9,+15.4,0,4,16,2,7,1,48,2,0
4,Lou Williams,33,13,341,50%,50%,,,,+3.7,-0.3,14,5,6,1,20,1,133,10,5
5,Ivica Zubac,22,13,320,,,,,100%,+17.5,+27.0,3,2,17,5,18,2,21,3,8
6,Montrezl Harrell,26,13,243,,,,,100%,-13.2,-28.5,4,3,15,3,35,4,14,6,9
7,Landry Shamet,22,13,243,49%,44%,7%,,,-1.8,-9.5,9,1,9,2,3,2,44,1,2
8,JaMychal Green,29,13,222,,,,87%,13%,-5.6,-14.9,1,2,12,0,5,0,17,1,4
9,Reggie Jackson,29,12,170,99%,1%,,,,+4.5,+0.5,2,2,6,0,0,0,29,0,2
10,Patrick Beverley,31,8,166,100%,,,,,+4.7,+1.0,4,2,10,0,0,5,49,0,1
11,Terance Mann,23,13,27,,37%,53%,10%,,+21.7,+18.6,0,2,2,0,0,0,3,0,1
12,Rodney McGruder,28,5,16,34%,49%,17%,,,+37.5,+34.3,0,0,0,0,0,0,5,0,0
13,Patrick Patterson,30,2,10,,,,39%,61%,+52.2,+49.0,0,0,1,0,0,0,9,0,0
14,Amir Coffey,22,3,7,,,77%,23%,,+104.6,+101.8,0,0,0,0,0,0,11,0,0
15,Joakim Noah,34,2,2,,,,,100%,+66.7,+62.7,0,0,0,0,0,0,0,0,0
