,,&nbsp;,,% of FGA by Distance,,FG% by Distance,,% of FG Ast\'d,,Dunks,,Corner 3s,,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,3P,&nbsp;,%FGA,#,&nbsp;,%3PA,3P%,&nbsp;,Att.,#
1,Kawhi Leonard,28,13,511,.489,13.7,,.728,.198,.183,.216,.131,.272,,.549,.679,.490,.586,.371,.329,,.187,.917,,.056,14,,.055,.250,,0,0
2,Paul George,29,13,479,.398,17.2,,.498,.145,.118,.154,.081,.502,,.464,.656,.346,.382,.444,.333,,.235,.676,,.000,0,,.279,.387,,0,0
3,Marcus Morris,30,13,388,.505,19.0,,.468,.063,.081,.144,.180,.532,,.538,.714,.667,.563,.400,.475,,.250,1.000,,.000,0,,.339,.600,,0,0
4,Lou Williams,33,13,341,.425,14.2,,.651,.192,.192,.219,.048,.349,,.526,.571,.536,.531,.286,.235,,.200,.500,,.014,1,,.333,.235,,0,0
5,Ivica Zubac,22,13,320,.564,2.2,,1.000,.782,.192,.026,.000,.000,,.564,.607,.467,.000,,,,.795,,,.346,23,,,,,0,0
6,Montrezl Harrell,26,13,243,.573,5.7,,.939,.659,.220,.061,.000,.061,,.597,.667,.444,.400,,.200,,.609,1.000,,.171,11,,.000,,,2,0
7,Landry Shamet,22,13,243,.407,19.2,,.288,.169,.068,.017,.034,.712,,.529,.700,.250,1.000,.000,.357,,.889,1.000,,.051,2,,.381,.438,,0,0
8,JaMychal Green,29,13,222,.564,12.0,,.582,.382,.182,.000,.018,.418,,.656,.714,.500,,1.000,.435,,.524,1.000,,.109,3,,.522,.417,,0,0
9,Reggie Jackson,29,12,170,.438,19.8,,.333,.042,.104,.125,.063,.667,,.250,.000,.200,.167,.667,.531,,.000,.882,,.000,0,,.438,.500,,0,0
10,Patrick Beverley,31,8,166,.513,16.6,,.436,.231,.128,.077,.000,.564,,.706,.889,.600,.333,,.364,,.667,1.000,,.000,0,,.364,.500,,1,0
11,Terance Mann,23,13,27,.400,18.2,,.600,.200,.200,.200,.000,.400,,.667,1.000,.000,1.000,,.000,,.500,,,.200,1,,.000,,,0,0
12,Rodney McGruder,28,5,16,.600,17.4,,.400,.000,.400,.000,.000,.600,,.500,,.500,,,.667,,.000,1.000,,.000,0,,.667,.500,,0,0
13,Patrick Patterson,30,2,10,1.000,23.7,,.000,.000,.000,.000,.000,1.000,,,,,,,1.000,,,1.000,,.000,0,,.333,1.000,,0,0
14,Amir Coffey,22,3,7,.000,16.0,,.667,.000,.000,.667,.000,.333,,.000,,,.000,,.000,,,,,.000,0,,1.000,.000,,0,0
15,Joakim Noah,34,2,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
