Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kawhi Leonard,28,13,13,511,131,268,.489,24,73,.329,107,195,.549,.534,81,94,.862,24,97,121,72,30,11,33,29,367
2,Paul George,29,13,13,479,88,221,.398,37,111,.333,51,110,.464,.482,50,55,.909,14,65,79,49,19,7,40,49,263
3,Marcus Morris,30,13,13,388,56,111,.505,28,59,.475,28,52,.538,.631,13,14,.929,11,52,63,21,11,1,9,39,153
4,Lou Williams,33,13,0,341,62,146,.425,12,51,.235,50,95,.526,.466,30,37,.811,7,34,41,55,10,2,21,18,166
5,Ivica Zubac,22,13,13,320,44,78,.564,0,0,,44,78,.564,.564,30,37,.811,31,62,93,8,2,10,12,34,118
6,Montrezl Harrell,26,13,0,243,47,82,.573,1,5,.200,46,77,.597,.579,41,68,.603,11,27,38,5,5,7,12,28,136
7,Landry Shamet,22,13,4,243,24,59,.407,15,42,.357,9,17,.529,.534,5,7,.714,0,22,22,17,6,3,13,18,68
8,JaMychal Green,29,13,0,222,31,55,.564,10,23,.435,21,32,.656,.655,7,9,.778,13,36,49,7,2,3,5,29,79
9,Reggie Jackson,29,12,1,170,21,48,.438,17,32,.531,4,16,.250,.615,0,0,,2,19,21,11,2,1,5,18,59
10,Patrick Beverley,31,8,8,166,20,39,.513,8,22,.364,12,17,.706,.615,2,4,.500,9,24,33,19,8,3,7,31,50
11,Terance Mann,23,13,0,27,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,7,7,1,1,0,2,4,4
12,Rodney McGruder,28,5,0,16,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,1,3,4,2,0,0,0,0,8
13,Patrick Patterson,30,2,0,10,3,3,1.000,3,3,1.000,0,0,,1.500,0,0,,0,1,1,4,0,0,0,1,9
14,Amir Coffey,22,3,0,7,0,3,.000,0,1,.000,0,2,.000,.000,2,2,1.000,0,0,0,4,1,0,0,0,2
15,Joakim Noah,34,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
