Rk,&nbsp;,Salary
1,Paul George,"$33,005,556"
2,Kawhi Leonard,"$32,742,000"
3,Marcus Morris,"$15,000,000"
4,Patrick Beverley,"$12,345,679"
5,Lou Williams,"$8,000,000"
6,Ivica Zubac,"$6,481,482"
7,Montrezl Harrell,"$6,000,000"
8,Rodney McGruder,"$4,807,693"
9,JaMychal Green,"$4,767,000"
10,Patrick Patterson,"$2,331,593"
11,Isaiah Thomas,"$2,320,044"
12,Landry Shamet,"$1,995,120"
13,Mfiondu Kabengele,"$1,977,000"
14,Terance Mann,"$1,000,000"
15,Reggie Jackson,"$734,025"
16,Joakim Noah,"$434,704"
17,Johnathan Motley,$0
18,Amir Coffey,$0
