Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Lou Williams,33,65,8,1864,391,936,.418,111,315,.352,280,621,.451,.477,292,339,.861,31,170,201,365,43,12,182,80,1185
2,Kawhi Leonard,28,57,57,1848,532,1133,.470,123,325,.378,409,808,.506,.524,356,402,.886,54,348,402,280,103,33,149,113,1543
3,Montrezl Harrell,26,63,2,1749,471,812,.580,0,18,.000,471,794,.593,.580,231,351,.658,163,282,445,107,39,72,108,146,1173
4,Landry Shamet,22,53,30,1452,158,391,.404,111,296,.375,47,95,.495,.546,65,76,.855,6,94,100,99,20,10,42,142,492
5,Paul George,29,48,48,1419,343,782,.439,157,381,.412,186,401,.464,.539,190,217,.876,24,248,272,185,68,20,125,113,1033
6,Patrick Beverley,31,51,50,1342,147,341,.431,80,206,.388,67,135,.496,.548,31,47,.660,57,209,266,183,54,25,66,156,405
7,Ivica Zubac,22,72,70,1326,236,385,.613,0,2,.000,236,383,.616,.613,124,166,.747,197,346,543,82,16,66,61,168,596
8,JaMychal Green,29,63,1,1307,151,352,.429,92,238,.387,59,114,.518,.560,36,48,.750,77,311,388,49,29,24,54,174,430
9,Maurice Harkless,26,50,38,1141,112,217,.516,27,73,.370,85,144,.590,.578,24,42,.571,47,153,200,48,49,30,46,120,275
10,Rodney McGruder,28,56,4,871,72,181,.398,24,89,.270,48,92,.522,.464,19,34,.559,29,122,151,36,26,8,24,74,187
11,Patrick Patterson,30,59,18,776,95,233,.408,67,172,.390,28,61,.459,.552,35,43,.814,35,116,151,41,7,3,21,54,292
12,Marcus Morris,30,19,19,549,74,174,.425,26,84,.310,48,90,.533,.500,18,22,.818,11,67,78,27,13,13,24,52,192
13,Jerome Robinson,22,42,1,476,46,136,.338,19,67,.284,27,69,.391,.408,11,19,.579,5,55,60,46,13,8,26,55,122
14,Terance Mann,23,41,6,362,37,79,.468,7,20,.350,30,59,.508,.513,18,27,.667,10,45,55,53,11,5,18,46,99
15,Reggie Jackson,29,17,6,362,58,128,.453,26,63,.413,32,65,.492,.555,19,21,.905,6,45,51,54,5,4,28,38,161
16,Derrick Walton,24,23,1,222,17,36,.472,9,21,.429,8,15,.533,.597,7,9,.778,2,13,15,22,4,0,4,19,50
17,Amir Coffey,22,18,1,159,23,54,.426,6,19,.316,17,35,.486,.481,6,11,.545,4,12,16,14,5,2,8,20,58
18,Mfiondu Kabengele,22,12,0,64,14,32,.438,9,20,.450,5,12,.417,.578,5,5,1.000,1,10,11,2,2,2,2,9,42
19,Joakim Noah,34,5,0,50,4,8,.500,0,0,,4,8,.500,.500,6,8,.750,5,11,16,7,1,1,6,9,14
20,Johnathan Motley,24,13,0,41,11,15,.733,1,1,1.000,10,14,.714,.767,5,7,.714,3,7,10,8,3,0,5,6,28
,Team Totals,,72,,17380,2992,6425,.466,895,2410,.371,2097,4015,.522,.535,1498,1894,.791,767,2664,3431,1708,511,338,1051,1594,8377
