Rk,&nbsp;,Age,G,MP,PER,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,&nbsp;,OWS,DWS,WS,WS/48,&nbsp;,OBPM,DBPM,BPM,VORP
1,Paul George,30,3,97,21.5,.706,.511,.267,0.0,16.4,7.9,32.1,1.0,0.0,23.0,30.1,,0.2,0.0,0.2,.090,,,,,
2,Nicolas Batum,32,3,86,13.5,.608,.563,.063,7.9,22.7,15.0,18.9,1.7,1.2,19.6,10.6,,0.1,0.0,0.2,.096,,,,,
3,Luke Kennard,24,3,70,3.8,.398,.565,.087,0.0,17.4,8.4,10.6,2.1,1.4,17.3,18.5,,-0.2,0.0,-0.2,-0.117,,,,,
4,Patrick Beverley,32,3,66,7.9,.560,.706,.235,8.6,9.2,8.9,6.8,1.5,0.0,17.6,15.4,,0.0,0.0,0.0,.012,,,,,
5,Kawhi Leonard,29,2,64,23.2,.540,.300,.200,3.5,9.5,6.4,31.9,4.6,1.6,10.3,33.9,,0.1,0.0,0.1,.103,,,,,
6,Serge Ibaka,31,3,62,25.8,.704,.333,.296,5.5,27.6,16.1,9.7,0.0,4.9,6.2,23.5,,0.2,0.0,0.3,.201,,,,,
7,Ivica Zubac,23,3,62,21.3,.852,.000,1.727,7.3,7.9,7.6,2.6,0.8,3.2,13.4,16.1,,0.3,0.0,0.3,.223,,,,,
8,Lou Williams,34,3,59,8.1,.446,.400,.150,1.9,12.4,7.0,18.2,0.8,0.0,8.6,17.7,,0.0,0.0,0.0,-0.033,,,,,
9,Patrick Patterson,31,3,40,8.0,.508,.857,.286,8.5,12.2,10.3,10.4,2.5,0.0,20.2,11.1,,0.0,0.0,0.0,.031,,,,,
10,Reggie Jackson,30,3,37,4.8,.433,.733,.000,0.0,16.5,7.9,17.0,0.0,0.0,11.8,20.6,,-0.1,0.0,-0.1,-0.096,,,,,
11,Terance Mann,24,3,30,-1.6,.300,.200,.000,0.0,12.2,5.9,9.9,0.0,0.0,9.1,16.4,,-0.1,0.0,-0.1,-0.179,,,,,
12,Amir Coffey,23,3,19,-4.9,.085,.400,.400,6.0,0.0,3.1,13.7,0.0,0.0,0.0,13.9,,-0.1,0.0,-0.1,-0.241,,,,,
13,Mfiondu Kabengele,23,3,17,10.7,.644,1.000,.667,0.0,14.4,6.9,0.0,2.9,0.0,0.0,10.2,,0.0,0.0,0.0,.107,,,,,
14,Daniel Oturu,21,2,12,4.9,.500,.250,.000,0.0,20.3,9.8,0.0,0.0,8.4,20.0,18.6,,0.0,0.0,0.0,-0.110,,,,,
