Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,Effective Field Goal Percentage,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Paul George,30,3,3,32.3,8.3,15.0,.556,3.3,7.7,.435,5.0,7.3,.682,.667,3.7,4.0,.917,0.0,4.3,4.3,5.3,0.7,0.0,5.0,1.7,23.7
2,Kawhi Leonard,29,2,2,32.0,9.0,20.0,.450,1.5,6.0,.250,7.5,14.0,.536,.488,4.0,4.0,1.000,1.0,2.5,3.5,5.0,3.0,0.5,2.5,4.5,23.5
3,Nicolas Batum,32,3,3,28.7,2.7,5.3,.500,1.0,3.0,.333,1.7,2.3,.714,.594,0.3,0.3,1.000,2.0,5.3,7.3,3.7,1.0,0.3,1.3,3.0,6.7
4,Luke Kennard,24,3,1,23.3,2.3,7.7,.304,1.0,4.3,.231,1.3,3.3,.400,.370,0.7,0.7,1.000,0.0,3.3,3.3,1.7,1.0,0.3,1.7,2.0,6.3
5,Patrick Beverley,32,3,3,22.0,2.3,5.7,.412,1.3,4.0,.333,1.0,1.7,.600,.529,1.0,1.3,.750,1.7,1.7,3.3,1.0,0.7,0.0,1.3,4.3,7.0
6,Serge Ibaka,31,3,3,20.7,5.7,9.0,.630,1.3,3.0,.444,4.3,6.0,.722,.704,1.7,2.7,.625,1.0,4.7,5.7,1.0,0.0,1.0,0.7,3.0,14.3
7,Ivica Zubac,23,3,0,20.7,3.0,3.7,.818,0.0,0.0,,3.0,3.7,.818,.818,5.0,6.3,.789,1.3,1.3,2.7,0.3,0.3,0.7,1.0,3.0,11.0
8,Lou Williams,34,3,0,19.7,2.3,6.7,.350,1.3,2.7,.500,1.0,4.0,.250,.450,0.3,1.0,.333,0.3,2.0,2.3,2.3,0.3,0.0,0.7,1.0,6.3
9,Patrick Patterson,31,3,0,13.3,0.7,2.3,.286,0.7,2.0,.333,0.0,0.3,.000,.429,0.7,0.7,1.000,1.0,1.3,2.3,1.0,0.7,0.0,0.7,2.0,2.7
10,Reggie Jackson,30,3,0,12.3,1.7,5.0,.333,1.0,3.7,.273,0.7,1.3,.500,.433,0.0,0.0,,0.0,1.7,1.7,1.3,0.0,0.0,0.7,1.0,4.3
11,Terance Mann,24,3,0,10.0,1.0,3.3,.300,0.0,0.7,.000,1.0,2.7,.375,.300,0.0,0.0,,0.0,1.0,1.0,0.7,0.0,0.0,0.3,1.0,2.0
12,Amir Coffey,23,3,0,6.3,0.0,1.7,.000,0.0,0.7,.000,0.0,1.0,.000,.000,0.3,0.7,.500,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.3,0.3
13,Daniel Oturu,21,2,0,6.0,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,2.0
14,Mfiondu Kabengele,23,3,0,5.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,,.500,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.7,1.7
