,&nbsp;,Position Estimate,+/- Per 100 Poss.,Turnovers,Fouls Committed,Fouls Drawn,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Paul George,30,3,97,,,94%,6%,,+2.8,+40.9,10,3,2,2,6,0,39,2,0
2,Nicolas Batum,32,3,86,,,1%,93%,6%,-3.0,+17.6,2,2,4,0,1,3,26,1,0
3,Luke Kennard,24,3,70,12%,86%,2%,,,-14.3,-8.7,3,0,4,0,0,0,11,0,0
4,Patrick Beverley,32,3,66,88%,12%,,,,-6.2,+6.8,1,0,5,3,1,0,8,0,1
5,Kawhi Leonard,29,2,64,,63%,34%,3%,,+11.4,+39.5,1,0,2,3,4,0,27,2,1
6,Serge Ibaka,31,3,62,,,,,100%,-9.0,+1.8,0,1,4,1,5,0,7,2,0
7,Ivica Zubac,23,3,62,,,,,100%,-6.4,+6.6,1,1,7,1,7,0,2,1,0
8,Lou Williams,34,3,59,100%,,,,,-11.2,-2.1,1,1,0,0,2,0,15,1,2
9,Patrick Patterson,31,3,40,,,,96%,4%,-12.8,-3.9,1,0,3,0,1,0,8,0,0
10,Reggie Jackson,30,3,37,50%,50%,,,,-37.1,-35.8,2,0,0,0,0,1,9,0,1
11,Terance Mann,24,3,30,2%,55%,43%,,,-60.0,-62.1,1,0,2,0,0,0,6,0,0
12,Amir Coffey,23,3,19,,2%,85%,13%,,-34.8,-28.3,0,0,1,0,1,0,4,0,0
13,Mfiondu Kabengele,23,3,17,,,,93%,7%,-35.8,-28.9,0,0,1,0,1,0,0,0,0
14,Daniel Oturu,21,2,12,,,,,100%,-20.3,-11.3,1,0,2,0,0,0,0,0,0
