,,&nbsp;,,% of FGA by Distance,,FG% by Distance,,% of FG Ast\'d,,Dunks,,Corner 3s,,Heaves
Rk,&nbsp;,Age,G,MP,FG%,Dist.,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,0-3,3-10,10-16,16-3P,3P,&nbsp;,2P,3P,&nbsp;,%FGA,#,&nbsp;,%3PA,3P%,&nbsp;,Att.,#
1,Paul George,30,3,97,.556,18.8,,.489,.067,.156,.044,.222,.511,,.682,1.000,.571,1.000,.600,.435,,.200,.500,,.000,0,,.174,.750,,0,0
2,Nicolas Batum,32,3,86,.500,17.9,,.438,.250,.000,.000,.188,.563,,.714,1.000,,,.333,.333,,.800,1.000,,.063,1,,.444,.500,,0,0
3,Luke Kennard,24,3,70,.304,18.9,,.435,.043,.130,.174,.087,.565,,.400,.000,.333,.500,.500,.231,,.500,.667,,.000,0,,.154,.000,,0,0
4,Patrick Beverley,32,3,66,.412,18.6,,.294,.235,.059,.000,.000,.706,,.600,.500,1.000,,,.333,,.333,1.000,,.000,0,,.333,.000,,0,0
5,Kawhi Leonard,29,2,64,.450,14.6,,.700,.150,.175,.250,.125,.300,,.536,.500,.571,.500,.600,.250,,.467,1.000,,.000,0,,.250,.333,,0,0
6,Serge Ibaka,31,3,62,.630,13.6,,.667,.148,.333,.111,.074,.333,,.722,1.000,.778,.333,.500,.444,,.692,1.000,,.037,1,,.000,,,0,0
7,Ivica Zubac,23,3,62,.818,2.3,,1.000,.818,.182,.000,.000,.000,,.818,.889,.500,,,,,.778,,,.455,5,,,,,0,0
8,Lou Williams,34,3,59,.350,15.0,,.600,.250,.100,.050,.200,.400,,.250,.200,.500,.000,.250,.500,,.333,.750,,.000,0,,.750,.500,,0,0
9,Patrick Patterson,31,3,40,.286,23.1,,.143,.000,.000,.143,.000,.857,,.000,,,.000,,.333,,,.500,,.000,0,,.500,.667,,0,0
10,Reggie Jackson,30,3,37,.333,20.9,,.267,.000,.267,.000,.000,.733,,.500,,.500,,,.273,,.000,.667,,.000,0,,.091,.000,,0,0
11,Terance Mann,24,3,30,.300,12.2,,.800,.200,.200,.200,.200,.200,,.375,1.000,.500,.000,.000,.000,,1.000,,,.000,0,,.500,.000,,0,0
12,Amir Coffey,23,3,19,.000,17.2,,.600,.200,.000,.200,.200,.400,,.000,.000,,.000,.000,.000,,,,,.000,0,,.000,,,0,0
13,Mfiondu Kabengele,23,3,17,.333,26.0,,.000,.000,.000,.000,.000,1.000,,,,,,,.333,,,1.000,,.000,0,,.000,,,0,0
14,Daniel Oturu,21,2,12,.500,8.8,,.750,.250,.500,.000,.000,.250,,.667,1.000,.500,,,.000,,1.000,,,.250,1,,.000,,,0,0
