1,Kawhi Leonard,leonaka01
2,Paul George,georgpa01
3,Nicolas Batum,batumni01
4,Marcus Morris,morrima03
5,Serge Ibaka,ibakase01
6,Reggie Jackson,jacksre01
7,Patrick Beverley,beverpa01
8,Ivica Zubac,zubaciv01
9,Lou Williams,willilo02
10,Jay Scrubb,scrubja01
11,Rajon Rondo,rondora01
12,Luke Kennard,kennalu01
13,Terance Mann,mannte01
14,Patrick Patterson,pattepa01
15,DeMarcus Cousins,couside01
16,Yogi Ferrell,ferreyo01
17,Amir Coffey,coffeam01
18,Daniel Oturu,oturuda01
19,Mfiondu Kabengele,kabenmf01
20,Malik Fitts,fittsma01
21,&nbsp;,Age
