1,LeBron James,jamesle01
2,Anthony Davis,davisan02
3,Dennis Schröder,schrode01
4,Kyle Kuzma,kuzmaky01
5,Kentavious Caldwell-Pope,caldwke01
6,Andre Drummond,drumman01
7,Montrezl Harrell,harremo01
8,Alex Caruso,carusal01
9,Talen Horton-Tucker,hortota01
10,Markieff Morris,morrima02
11,Wesley Matthews,matthwe02
12,Marc Gasol,gasolma01
13,Ben McLemore,mclembe01
14,Damian Jones,jonesda03
15,Jared Dudley,dudleja01
16,Alfonzo McKinnie,mckinal01
17,Devontae Cacok,cacokde01
18,Quinn Cook,cookqu01
19,Kostas Antetokounmpo,antetko01
20,&nbsp;,Age
