1,Ja Morant,moranja01
2,Jae Crowder,crowdja01
3,Dillon Brooks,brookdi01
4,Jaren Jackson,jacksja02
5,Jonas Valančiūnas,valanjo01
6,Brandon Clarke,clarkbr01
7,Kyle Anderson,anderky01
8,De'Anthony Melton,meltode01
9,Tyus Jones,jonesty01
10,Grayson Allen,allengr01
11,Solomon Hill,hillso01
12,Gorgui Dieng,dienggo01
13,Anthony Tolliver,tollian01
14,Josh Jackson,jacksjo02
15,Marko Guduric,gudurma01
16,Jordan Bell,belljo01
17,John Konchar,konchjo01
18,Bruno Caboclo,cabocbr01
19,Dusty Hannahs,hannadu01
20,Yuta Watanabe,watanyu01
21,Jarrod Uthoff,uthofja01
