1,Jimmy Butler,butleji01
2,Bam Adebayo,adebaba01
3,Justise Winslow,winslju01
4,Duncan Robinson,robindu01
5,Kendrick Nunn,nunnke01
6,Goran Dragić,dragigo01
7,Jae Crowder,crowdja01
8,Tyler Herro,herroty01
9,Derrick Jones,jonesde02
10,Meyers Leonard,leoname01
11,Andre Iguodala,iguodan01
12,Kelly Olynyk,olynyke01
13,Solomon Hill,hillso01
14,James Johnson,johnsja01
15,Dion Waiters,waitedi01
16,Udonis Haslem,hasleud01
17,Gabe Vincent,vincega01
18,Chris Silva,silvach01
19,Kyle Alexander,alexaky01
20,KZ Okpala,okpalkz01
21,Daryl Macon,maconda01
