1,Khris Middleton,middlkh01
2,Giannis Antetokounmpo,antetgi01
3,Justin Jackson,jacksju01
4,Jrue Holiday,holidjr01
5,Elijah Bryant,bryanel01
6,Donte DiVincenzo,divindo01
7,Brook Lopez,lopezbr01
8,Pat Connaughton,connapa01
9,Bobby Portis,portibo01
10,P.J. Tucker,tuckepj01
11,Bryn Forbes,forbebr01
12,D.J. Augustin,augusdj01
13,Jeff Teague,teaguje01
14,Torrey Craig,craigto01
15,Mamadi Diakite,diakima01
16,Thanasis Antetokounmpo,antetth01
17,Jordan Nwora,nworajo01
18,D.J. Wilson,wilsodj01
19,Sam Merrill,merrisa01
20,Axel Toupane,toupaax01
21,Rodions Kurucs,kurucro01
22,Jaylen Adams,adamsja01
23,&nbsp;,Age
