1,Andrew Wiggins,wiggian01
2,Karl-Anthony Towns,townska01
3,Malik Beasley,beaslma01
4,D'Angelo Russell,russeda01
5,Robert Covington,covinro01
6,Juan Hernangómez,hernaju01
7,Jeff Teague,teaguje01
8,Josh Okogie,okogijo01
9,James Johnson,johnsja01
10,Jarrett Culver,culveja01
11,Shabazz Napier,napiesh01
12,Jake Layman,laymaja01
13,Treveon Graham,grahatr01
14,Jordan McLaughlin,mclaujo01
15,Keita Bates-Diop,bateske01
16,Gorgui Dieng,dienggo01
17,Naz Reid,reidna01
18,Kelan Martin,martike03
19,Allen Crabbe,crabbal01
20,Noah Vonleh,vonleno01
21,Jaylen Nowell,nowelja01
22,Jordan Bell,belljo01
23,Jarred Vanderbilt,vandeja01
24,Jacob Evans,evansja02
