1,Brandon Ingram,ingrabr01
2,Zion Williamson,willizi01
3,Lonzo Ball,balllo01
4,Eric Bledsoe,bledser01
5,Josh Hart,hartjo01
6,Steven Adams,adamsst01
7,James Johnson,johnsja01
8,Naji Marshall,marshna01
9,Nickeil Alexander-Walker,alexani01
10,Didi Louzada,louzama01
11,J.J. Redick,redicjj01
12,Willy Hernangómez,hernawi01
13,Kira Lewis Jr.,lewiski01
14,Jaxson Hayes,hayesja02
15,Isaiah Thomas,thomais02
16,Wesley Iwundu,iwundwe01
17,Wenyen Gabriel,gabriwe01
18,Nicolò Melli,mellini01
19,James Nunnally,nunnaja01
20,Sindarius Thornwell,thornsi01
21,Will Magnay,magnawi01
