1,Julius Randle,randlju01
2,RJ Barrett,barrerj01
3,Reggie Bullock,bullore01
4,Mitchell Robinson,robinmi01
5,Derrick Rose,rosede01
6,Alec Burks,burksal01
7,Nerlens Noel,noelne01
8,Elfrid Payton,paytoel01
9,Austin Rivers,riverau01
10,Taj Gibson,gibsota01
11,Immanuel Quickley,quickim01
12,Obi Toppin,toppiob01
13,Kevin Knox,knoxke01
14,Frank Ntilikina,ntilila01
15,Dennis Smith Jr.,smithde03
16,Norvel Pelle,pelleno01
17,Theo Pinson,pinsoth01
18,Jared Harper,harpeja01
19,Ignas Brazdeikis,brazdig01
20,&nbsp;,Age
