1,Shai Gilgeous-Alexander,gilgesh01
2,Darius Bazley,bazleda01
3,Luguentz Dort,dortlu01
4,Al Horford,horfoal01
5,Théo Maledon,maledth01
6,George Hill,hillge01
7,Aleksej Pokusevski,pokusal01
8,Ty Jerome,jeromty01
9,Hamidou Diallo,diallha01
10,Isaiah Roby,robyis01
11,Sviatoslav Mykhailiuk,mykhasv01
12,Kenrich Williams,willike04
13,Moses Brown,brownmo01
14,Gabriel Deck,deckga01
15,Mike Muscala,muscami01
16,Tony Bradley,bradlto01
17,Charlie Brown,brownch02
18,Jaylen Hoard,hoardja01
19,Justin Jackson,jacksju01
20,Josh Hall,halljo01
21,Darius Miller,milleda01
22,Justin Robinson,robinju01
