1,Nikola Vučević,vucevni01
2,Evan Fournier,fournev01
3,Aaron Gordon,gordoaa01
4,Terrence Ross,rosste01
5,Ignas Brazdeikis,brazdig01
6,Cole Anthony,anthoco01
7,Markelle Fultz,fultzma01
8,Wendell Carter Jr.,cartewe01
9,Moritz Wagner,wagnemo01
10,Michael Carter-Williams,cartemi01
11,Dwayne Bacon,bacondw01
12,Chuma Okeke,okekech01
13,R.J. Hampton,hamptrj01
14,Gary Harris,harriga01
15,James Ennis,ennisja01
16,Otto Porter,porteot01
17,Al-Farouq Aminu,aminual01
18,Sindarius Thornwell,thornsi01
19,Chasson Randle,randlch01
20,Khem Birch,birchkh01
21,Frank Mason III,masonfr01
22,Gary Clark,clarkga01
23,Mo Bamba,bambamo01
24,Robert Franks,frankro01
25,Jordan Bone,bonejo01
26,Donta Hall,halldo01
27,Devin Cannady,cannade01
28,Karim Mané,maneka01
