1,Allen Iverson,iversal01
2,Jim Jackson,jacksji01
3,Derrick Coleman,colemde01
4,Jerry Stackhouse,stackje01
5,Theo Ratliff,ratlith01
6,Clarence Weatherspoon,weathcl01
7,Brian Shaw,shawbr01
8,Aaron McKie,mckieaa01
9,Joe Smith,smithjo02
10,Tim Thomas,thomati01
11,Eric Snow,snower01
12,Eric Montross,montrer01
13,Terry Cummings,cummite01
14,Benoit Benjamin,benjabe01
15,Scott Williams,willisc01
16,Mark Davis,davisma02
17,Doug Overton,overtdo01
18,Tom Chambers,chambto01
19,Kebu Stewart,stewake01
20,Rex Walters,waltere01
21,Anthony Parker,parkean01
22,William Cunningham,cunniwi01
