1,Brandon Knight,knighbr03
2,Eric Bledsoe,bledser01
3,P.J. Tucker,tuckepj01
4,Devin Booker,bookede01
5,Markieff Morris,morrima02
6,Tyson Chandler,chandty01
7,Orlando Johnson,johnsor01
8,Alex Len,lenal01
9,T.J. Warren,warretj01
10,Mirza Teletović,teletmi01
11,Archie Goodwin,goodwar01
12,Ronnie Price,pricero01
13,Jon Leuer,leuerjo01
14,Kris Humphries,humphkr01
15,John Jenkins,jenkijo01
16,Phil Pressey,pressph01
17,Chase Budinger,budinch01
18,Sonny Weems,weemsso01
19,Jordan McRae,mcraejo01
20,Bryce Cotton,cottobr01
21,Lorenzo Brown,brownlo01
22,Alan Williams,willial03
23,Cory Jefferson,jeffeco01
