1,Isaiah Rider,rideris01
2,Rasheed Wallace,wallara01
3,Damon Stoudamire,stoudda01
4,Kenny Anderson,anderke01
5,Arvydas Sabonis,sabonar01
6,Brian Grant,grantbr01
7,Gary Trent,trentga01
8,Alvin Williams,willial02
9,Stacey Augmon,augmost01
10,Walt Williams,williwa02
11,Rick Brunson,brunsri01
12,Gary Grant,grantga01
13,Vincent Askew,askewvi01
14,John Crotty,crottjo01
15,Kelvin Cato,catoke01
16,Jermaine O'Neal,onealje01
17,Carlos Rogers,rogerca01
18,Alton Lister,listeal01
19,Sean Higgins,higgise01
20,Dontonio Wingfield,wingfdo01
