1,Harrison Barnes,barneha02
2,De'Aaron Fox,foxde01
3,Buddy Hield,hieldbu01
4,Bogdan Bogdanović,bogdabo01
5,Richaun Holmes,holmeri01
6,Nemanja Bjelica,bjeline01
7,Marvin Bagley,baglema01
8,Trevor Ariza,arizatr01
9,Cory Joseph,josepco01
10,Kent Bazemore,bazemke01
11,Eric Mika,mikaer01
12,Dewayne Dedmon,dedmode01
13,Alex Len,lenal01
14,Harry Giles,gilesha01
15,Jabari Parker,parkeja01
16,DaQuan Jeffries,jeffrda01
17,Yogi Ferrell,ferreyo01
18,Anthony Tolliver,tollian01
19,Corey Brewer,breweco01
20,Justin James,jamesju01
21,Wenyen Gabriel,gabriwe01
22,Kyle Guy,guyky01
23,Caleb Swanigan,swanica01
