Rk,&nbsp;,Age,G,MP,PER,True Shooting Percentage,3-Point Attempt Rate,Free Throw Attempt Rate,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,&nbsp;,OWS,DWS,WS,WS/48,&nbsp;,OBPM,DBPM,BPM,VORP
1,Pascal Siakam,24,80,2548,18.7,.628,.226,.320,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,,5.7,3.6,9.3,.175,,2.0,1.4,3.4,3.5
2,Danny Green,31,80,2216,13.0,.632,.690,.070,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,,3.0,2.9,5.9,.128,,1.7,1.2,2.9,2.7
3,Kyle Lowry,32,65,2213,16.5,.562,.613,.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,,3.6,3.0,6.6,.144,,2.5,0.6,3.1,2.8
4,Kawhi Leonard,27,60,2040,25.8,.606,.267,.377,4.2,18.6,11.6,16.4,2.5,1.0,8.4,30.3,,6.1,3.4,9.5,.224,,4.3,0.7,5.0,3.6
5,Serge Ibaka,29,74,2010,18.7,.582,.193,.202,8.6,23.2,16.1,7.7,0.7,4.3,10.7,22.9,,2.8,3.3,6.1,.146,,-0.7,1.2,0.5,1.3
6,Fred VanVleet,24,64,1760,13.7,.539,.493,.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,,2.4,1.9,4.3,.117,,0.7,-0.7,0.0,0.9
7,OG Anunoby,21,67,1352,9.8,.544,.500,.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,,0.3,1.7,2.0,.070,,-1.3,0.1,-1.2,0.3
8,Norman Powell,25,60,1126,13.3,.596,.425,.188,1.6,11.5,6.7,11.6,1.7,1.0,13.1,19.0,,1.0,1.4,2.4,.102,,-0.4,-0.3,-0.7,0.4
9,Delon Wright,26,49,897,14.5,.527,.307,.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,,1.0,1.3,2.3,.123,,-0.3,1.1,0.8,0.6
10,Marc Gasol,34,26,648,16.0,.565,.278,.278,4.1,24.0,14.3,21.2,1.8,2.9,14.6,16.3,,0.9,1.2,2.1,.157,,-0.3,3.5,3.2,0.9
11,Jonas Valan\xc4\x8di\xc5\xabnas,26,30,564,24.4,.639,.116,.363,10.6,30.2,20.6,8.5,1.1,3.4,11.5,25.9,,1.6,1.1,2.6,.224,,0.5,0.5,0.9,0.4
12,C.J. Miles,31,40,562,8.0,.484,.665,.214,2.4,10.5,6.5,5.2,1.5,1.5,8.5,18.8,,-0.3,0.7,0.4,.035,,-2.4,-1.3,-3.7,-0.2
13,Jeremy Lin,30,23,433,8.2,.464,.355,.271,1.5,13.1,7.5,15.7,1.0,1.1,13.0,19.8,,-0.3,0.5,0.2,.020,,-3.9,-0.6,-4.5,-0.3
14,Greg Monroe,28,38,423,13.5,.487,.025,.379,15.7,23.8,19.9,5.4,1.5,1.6,14.2,22.2,,-0.1,0.7,0.6,.071,,-4.7,-0.6,-5.3,-0.4
15,Patrick McCaw,23,26,344,8.7,.569,.444,.278,2.3,11.6,7.1,9.8,2.9,0.5,18.8,9.3,,0.2,0.5,0.7,.096,,-2.0,2.1,0.1,0.2
16,Lorenzo Brown,28,26,212,6.3,.380,.394,.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,,-0.5,0.3,-0.1,-0.027,,-5.8,1.5,-4.3,-0.1
17,Chris Boucher,26,28,163,22.2,.563,.487,.197,10.9,25.8,18.5,1.9,1.8,12.2,7.8,23.6,,0.2,0.4,0.7,.194,,-1.7,2.8,1.1,0.1
18,Jodie Meeks,31,8,104,16.0,.647,.462,.026,1.1,11.1,6.2,11.5,0.5,0.8,4.8,17.1,,0.2,0.1,0.3,.153,,1.4,-2.2,-0.8,0.0
19,Malachi Richardson,23,22,103,0.9,.481,.862,.172,2.2,11.2,6.8,0.0,0.5,0.0,20.4,16.4,,-0.2,0.1,-0.1,-0.060,,-6.3,-4.5,-10.8,-0.2
20,Malcolm Miller,25,10,67,13.7,.630,.808,.154,1.7,6.3,4.0,2.1,0.7,1.2,3.5,18.5,,0.1,0.1,0.2,.130,,1.8,-3.8,-2.0,0.0
21,Jordan Loyd,25,12,55,16.3,.635,.444,.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,,0.2,0.0,0.2,.190,,1.0,-3.0,-2.0,0.0
22,Eric Moreland,27,4,38,7.1,.500,.143,.000,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,,-0.1,0.1,0.0,.026,,-6.6,3.5,-3.1,0.0
