Rk,&nbsp;,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Pascal Siakam,24,80,79,2548,9.8,17.8,.549,1.5,4.0,.369,8.3,13.7,.602,4.5,5.7,.785,2.3,8.0,10.3,4.7,1.4,1.0,2.9,4.5,25.5,,120,107
2,Danny Green,31,80,80,2216,6.3,13.6,.465,4.3,9.4,.455,2.1,4.2,.487,0.8,1.0,.841,1.3,5.6,6.9,2.7,1.6,1.1,1.6,3.7,17.8,,119,108
3,Kyle Lowry,32,65,65,2213,6.6,16.0,.411,3.4,9.8,.347,3.2,6.2,.514,3.5,4.2,.830,0.9,5.9,6.8,12.2,2.0,0.7,3.9,3.6,20.1,,115,108
4,Kawhi Leonard,27,60,60,2040,13.2,26.5,.496,2.6,7.1,.371,10.5,19.4,.542,8.6,10.0,.854,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2.0,37.5,,119,105
5,Serge Ibaka,29,74,51,2010,11.1,20.9,.529,1.2,4.0,.290,9.9,16.9,.586,3.2,4.2,.763,3.7,10.6,14.3,2.4,0.7,2.5,2.7,5.0,26.5,,113,105
6,Fred VanVleet,24,64,28,1760,6.7,16.3,.410,3.0,8.1,.378,3.6,8.3,.441,2.6,3.1,.843,0.6,4.0,4.5,8.4,1.6,0.5,2.2,3.0,19.1,,114,110
7,OG Anunoby,21,67,6,1352,6.5,14.3,.453,2.4,7.2,.332,4.1,7.2,.574,1.3,2.2,.581,2.1,4.9,7.0,1.7,1.6,0.8,1.9,5.0,16.6,,104,109
8,Norman Powell,25,60,3,1126,8.2,17.0,.483,2.9,7.2,.400,5.3,9.8,.543,2.6,3.2,.827,0.7,5.2,5.9,3.9,1.7,0.6,2.8,4.1,22.0,,110,109
9,Delon Wright,26,49,2,897,6.8,15.7,.433,1.6,4.8,.333,5.2,10.8,.478,2.8,3.3,.869,2.1,4.6,6.7,5.9,2.5,0.8,2.0,2.8,18.0,,113,107
10,Marc Gasol,34,26,19,648,6.4,13.8,.465,1.7,3.8,.442,4.7,10.0,.474,3.0,3.8,.769,1.8,10.9,12.7,7.5,1.8,1.7,2.7,5.2,17.5,,116,104
11,Jonas Valan\xc4\x8di\xc5\xabnas,26,30,10,564,12.7,22.0,.575,0.8,2.5,.300,11.9,19.5,.611,6.5,8.0,.819,4.6,13.8,18.4,2.5,1.1,2.0,3.3,7.0,32.6,,121,103
12,C.J. Miles,31,40,1,562,6.0,17.6,.340,3.7,11.7,.314,2.3,5.9,.391,3.0,3.8,.795,1.0,4.8,5.8,1.9,1.5,0.9,1.8,5.3,18.6,,97,109
13,Jeremy Lin,30,23,3,433,6.4,17.2,.374,1.2,6.1,.200,5.2,11.1,.470,3.8,4.6,.810,0.7,6.0,6.6,5.5,1.0,0.7,2.9,5.3,17.8,,96,110
14,Greg Monroe,28,38,2,423,8.4,18.2,.460,0.0,0.5,.000,8.4,17.8,.471,4.0,6.9,.574,6.8,10.9,17.7,1.8,1.5,0.9,3.5,6.9,20.7,,101,105
15,Patrick McCaw,23,26,1,344,3.3,7.5,.444,1.1,3.3,.333,2.2,4.2,.533,1.8,2.1,.867,1.0,5.3,6.3,3.8,2.9,0.3,2.0,5.2,9.6,,110,106
16,Lorenzo Brown,28,26,0,212,5.2,16.1,.324,1.4,6.3,.214,3.8,9.7,.395,0.7,0.7,1.000,1.1,5.9,7.0,6.3,2.7,1.1,3.6,5.0,12.4,,82,105
17,Chris Boucher,26,28,0,163,10.0,22.3,.447,3.5,10.9,.324,6.5,11.5,.564,3.8,4.4,.867,4.7,11.8,16.5,0.6,1.8,7.1,2.1,9.1,27.3,,112,97
18,Jodie Meeks,31,8,0,104,9.7,18.0,.538,3.7,8.3,.444,6.0,9.7,.619,0.5,0.5,1.000,0.5,5.1,5.5,3.7,0.5,0.5,0.9,2.3,23.5,,127,112
19,Malachi Richardson,23,22,0,103,4.2,13.5,.310,3.7,11.6,.320,0.5,1.9,.250,1.9,2.3,.800,0.9,5.1,6.0,0.0,0.5,0.0,3.7,6.0,14.0,,79,112
20,Malcolm Miller,25,10,0,67,7.9,18.6,.423,7.2,15.0,.476,0.7,3.6,.200,2.1,2.9,.750,0.7,2.9,3.6,0.7,0.7,0.7,0.7,3.6,25.0,,122,112
21,Jordan Loyd,25,12,0,55,7.0,15.7,.444,3.5,7.0,.500,3.5,8.7,.400,7.8,9.6,.818,0.9,7.0,7.8,5.2,0.0,0.0,1.7,4.4,25.3,,130,112
22,Eric Moreland,27,4,0,38,3.8,8.8,.429,1.3,1.3,1.000,2.5,7.6,.333,0.0,0.0,,5.0,16.4,21.4,5.0,1.3,1.3,6.3,10.1,8.8,,86,102
